investor |investors |investor,2014100403,6749,0,0.0
investor |investors |investor,2014100506,11836,0,0.0
investor |investors |investor,2014100402,6613,1,1.5121729925903524E-4
investor |investors |investor,2014100505,6487,0,0.0
investor |investors |investor,2014100401,4570,0,0.0
investor |investors |investor,2014100504,3861,0,0.0
investor |investors |investor,2014100400,5285,2,3.784295175023652E-4
investor |investors |investor,2014100503,4540,0,0.0
investor |investors |investor,2014100709,5572,3,5.384063173007897E-4
investor |investors |investor,2014100407,7111,3,4.2188159189987344E-4
investor |investors |investor,2014100406,10763,1,9.2910898448388E-5
investor |investors |investor,2014100501,6148,1,1.6265452179570593E-4
investor |investors |investor,2014100405,10366,0,0.0
investor |investors |investor,2014100500,11540,1,8.665511265164645E-5
investor |investors |investor,2014100404,3086,0,0.0
investor |investors |investor,2014100409,9932,0,0.0
investor |investors |investor,2014100408,10458,0,0.0
investor |investors |investor,2014100903,4141,0,0.0
investor |investors |investor,2014100613,12260,1,8.156606851549755E-5
investor |investors |investor,2014100904,4854,0,0.0
investor |investors |investor,2014100614,10247,1,9.758953840148337E-5
investor |investors |investor,2014100905,7777,0,0.0
investor |investors |investor,2014100615,8801,2,2.2724690376093625E-4
investor |investors |investor,2014100710,7431,1,1.3457139012245997E-4
investor |investors |investor,2014100906,3505,2,5.706134094151213E-4
investor |investors |investor,2014100616,10833,1,9.231053263177328E-5
investor |investors |investor,2014100711,13474,2,1.4843402107763098E-4
investor |investors |investor,2014100617,11523,3,2.603488674824265E-4
investor |investors |investor,2014100900,3864,0,0.0
investor |investors |investor,2014100618,10834,1,9.230201218386561E-5
investor |investors |investor,2014100901,3052,1,3.27653997378768E-4
investor |investors |investor,2014100619,10472,3,2.8647822765469827E-4
investor |investors |investor,2014100902,4916,0,0.0
investor |investors |investor,2014100716,9756,1,1.025010250102501E-4
investor |investors |investor,2014100800,3418,0,0.0
investor |investors |investor,2014100717,12018,2,1.6641704110500916E-4
investor |investors |investor,2014100801,4912,0,0.0
investor |investors |investor,2014100718,9824,1,1.0179153094462541E-4
investor |investors |investor,2014100802,4582,1,2.1824530772588389E-4
investor |investors |investor,2014100719,8904,0,0.0
investor |investors |investor,2014100803,4750,0,0.0
investor |investors |investor,2014100712,10146,3,2.9568302779420464E-4
investor |investors |investor,2014100804,8238,0,0.0
investor |investors |investor,2014100610,8565,0,0.0
investor |investors |investor,2014100713,7382,1,1.35464643727987E-4
investor |investors |investor,2014100805,6904,0,0.0
investor |investors |investor,2014100611,8676,5,5.763024435223605E-4
investor |investors |investor,2014100714,9294,1,1.0759629868732516E-4
investor |investors |investor,2014100806,7696,0,0.0
investor |investors |investor,2014100612,7761,2,2.5769875016106174E-4
investor |investors |investor,2014100715,8494,0,0.0
investor |investors |investor,2014100807,6298,0,0.0
investor |investors |investor,2014100519,13547,0,0.0
investor |investors |investor,2014100809,5933,3,5.056463846283499E-4
investor |investors |investor,2014100518,12589,0,0.0
investor |investors |investor,2014100808,7916,0,0.0
investor |investors |investor,2014100410,8297,0,0.0
investor |investors |investor,2014100412,8252,0,0.0
investor |investors |investor,2014100515,6526,0,0.0
investor |investors |investor,2014100411,8736,1,1.1446886446886447E-4
investor |investors |investor,2014100514,7337,0,0.0
investor |investors |investor,2014100414,8029,4,4.981940465811433E-4
investor |investors |investor,2014100517,16635,0,0.0
investor |investors |investor,2014100413,7649,0,0.0
investor |investors |investor,2014100516,7164,0,0.0
investor |investors |investor,2014100416,8535,16,0.0018746338605741067
investor |investors |investor,2014100511,8203,1,1.2190661952944045E-4
investor |investors |investor,2014100415,9288,3,3.2299741602067185E-4
investor |investors |investor,2014100510,7389,0,0.0
investor |investors |investor,2014100418,8794,4,4.5485558335228563E-4
investor |investors |investor,2014100513,8653,0,0.0
