wednesday |Wednesday,2014100812,5896,10,0.0016960651289009499
wednesday |Wednesday,2014100817,6743,15,0.0022245291413317513
wednesday |Wednesday,2014100600,15771,0,0.0
wednesday |Wednesday,2014100703,5792,1,1.7265193370165745E-4
wednesday |Wednesday,2014100818,7400,6,8.108108108108108E-4
wednesday |Wednesday,2014100601,8669,1,1.1535355865728458E-4
wednesday |Wednesday,2014100704,3010,0,0.0
wednesday |Wednesday,2014100815,5628,4,7.107320540156361E-4
wednesday |Wednesday,2014100701,13455,1,7.432181345224824E-5
wednesday |Wednesday,2014100816,7857,8,0.0010182003309151075
wednesday |Wednesday,2014100702,8524,0,0.0
wednesday |Wednesday,2014100509,9287,1,1.076773985140519E-4
wednesday |Wednesday,2014100508,6498,1,1.538935056940597E-4
wednesday |Wednesday,2014100819,4300,7,0.0016279069767441861
wednesday |Wednesday,2014100507,16911,1,5.913310862752055E-5
wednesday |Wednesday,2014100403,6749,1,1.481700992739665E-4
wednesday |Wednesday,2014100506,11836,0,0.0
wednesday |Wednesday,2014100402,6613,1,1.5121729925903524E-4
wednesday |Wednesday,2014100505,6487,0,0.0
wednesday |Wednesday,2014100401,4570,0,0.0
wednesday |Wednesday,2014100504,3861,0,0.0
wednesday |Wednesday,2014100400,5285,0,0.0
wednesday |Wednesday,2014100503,4540,0,0.0
wednesday |Wednesday,2014100709,5572,2,3.589375448671931E-4
wednesday |Wednesday,2014100407,7111,0,0.0
wednesday |Wednesday,2014100406,10763,0,0.0
wednesday |Wednesday,2014100501,6148,0,0.0
wednesday |Wednesday,2014100405,10366,0,0.0
wednesday |Wednesday,2014100500,11540,2,1.733102253032929E-4
wednesday |Wednesday,2014100404,3086,0,0.0
wednesday |Wednesday,2014100409,9932,2,2.013693113169553E-4
wednesday |Wednesday,2014100408,10458,3,2.8686173264486515E-4
wednesday |Wednesday,2014100903,4141,1,2.414875633904854E-4
wednesday |Wednesday,2014100613,12260,8,6.525285481239804E-4
wednesday |Wednesday,2014100904,4854,1,2.0601565718994644E-4
wednesday |Wednesday,2014100614,10247,30,0.0029276861520445008
wednesday |Wednesday,2014100905,7777,0,0.0
wednesday |Wednesday,2014100615,8801,12,0.0013634814225656176
wednesday |Wednesday,2014100710,7431,5,6.728569506122998E-4
wednesday |Wednesday,2014100906,3505,2,5.706134094151213E-4
wednesday |Wednesday,2014100616,10833,12,0.0011077263915812794
wednesday |Wednesday,2014100711,13474,22,0.001632774231853941
wednesday |Wednesday,2014100617,11523,10,8.678295582747548E-4
wednesday |Wednesday,2014100900,3864,2,5.175983436853002E-4
wednesday |Wednesday,2014100618,10834,6,5.538120731031936E-4
wednesday |Wednesday,2014100901,3052,2,6.55307994757536E-4
wednesday |Wednesday,2014100619,10472,2,1.9098548510313216E-4
wednesday |Wednesday,2014100902,4916,1,2.034174125305126E-4
wednesday |Wednesday,2014100716,9756,7,7.175071750717508E-4
wednesday |Wednesday,2014100800,3418,2,5.851375073142189E-4
wednesday |Wednesday,2014100717,12018,7,5.82459643867532E-4
wednesday |Wednesday,2014100801,4912,2,4.0716612377850165E-4
wednesday |Wednesday,2014100718,9824,6,6.107491856677524E-4
wednesday |Wednesday,2014100802,4582,0,0.0
wednesday |Wednesday,2014100719,8904,9,0.0010107816711590297
wednesday |Wednesday,2014100803,4750,0,0.0
wednesday |Wednesday,2014100712,10146,9,8.870490833826139E-4
wednesday |Wednesday,2014100804,8238,1,1.2138868657441127E-4
wednesday |Wednesday,2014100610,8565,8,9.340338587273788E-4
wednesday |Wednesday,2014100713,7382,9,0.001219181793551883
wednesday |Wednesday,2014100805,6904,1,1.4484356894553882E-4
wednesday |Wednesday,2014100611,8676,7,8.068234209313047E-4
wednesday |Wednesday,2014100714,9294,5,5.379814934366257E-4
wednesday |Wednesday,2014100806,7696,15,0.0019490644490644492
wednesday |Wednesday,2014100612,7761,2,2.5769875016106174E-4
wednesday |Wednesday,2014100715,8494,3,3.531904874028726E-4
wednesday |Wednesday,2014100807,6298,7,0.0011114639568116863
wednesday |Wednesday,2014100519,13547,1,7.381708127260648E-5
wednesday |Wednesday,2014100809,5933,5,8.427439743805831E-4
wednesday |Wednesday,2014100518,12589,1,7.943442688061006E-5
wednesday |Wednesday,2014100808,7916,8,0.001010611419909045
wednesday |Wednesday,2014100410,8297,1,1.205254911413764E-4
wednesday |Wednesday,2014100412,8252,1,1.211827435773146E-4
wednesday |Wednesday,2014100515,6526,2,3.0646644192460924E-4
wednesday |Wednesday,2014100411,8736,3,3.4340659340659343E-4
wednesday |Wednesday,2014100514,7337,3,4.088864658579801E-4
wednesday |Wednesday,2014100414,8029,0,0.0
wednesday |Wednesday,2014100517,16635,3,1.8034265103697024E-4
wednesday |Wednesday,2014100413,7649,3,3.922081317819323E-4
wednesday |Wednesday,2014100516,7164,1,1.3958682300390843E-4
wednesday |Wednesday,2014100416,8535,2,2.3432923257176333E-4
wednesday |Wednesday,2014100511,8203,2,2.438132390588809E-4
wednesday |Wednesday,2014100415,9288,2,2.153316106804479E-4
wednesday |Wednesday,2014100510,7389,3,4.060089321965083E-4
wednesday |Wednesday,2014100418,8794,0,0.0
wednesday |Wednesday,2014100513,8653,4,4.6226742170345545E-4
wednesday |Wednesday,2014100417,9001,2,2.2219753360737697E-4
wednesday |Wednesday,2014100512,7658,3,3.917471924784539E-4
wednesday |Wednesday,2014100908,14247,1,7.019021548396153E-5
wednesday |Wednesday,2014100907,7751,1,1.2901561088891756E-4
wednesday |Wednesday,2014100419,8630,2,2.317497103128621E-4
wednesday |Wednesday,2014100909,1000,0,0.0
wednesday |Wednesday,2014100721,11447,6,5.241548003843802E-4
wednesday |Wednesday,2014100722,8294,3,3.617072582589824E-4
wednesday |Wednesday,2014100720,10198,5,4.902922141596392E-4
wednesday |Wednesday,2014100723,5300,2,3.773584905660377E-4
wednesday |Wednesday,2014100520,14801,0,0.0
wednesday |Wednesday,2014100523,12605,1,7.933359777865926E-5
wednesday |Wednesday,2014100522,10915,4,3.664681630783326E-4
wednesday |Wednesday,2014100521,14363,3,2.0887001322843416E-4
wednesday |Wednesday,2014100623,8800,5,5.681818181818182E-4
wednesday |Wednesday,2014100622,9000,15,0.0016666666666666668
wednesday |Wednesday,2014100621,9007,6,6.661485511269013E-4
wednesday |Wednesday,2014100620,8998,5,5.556790397866192E-4
wednesday |Wednesday,2014093011,9741,7,7.186120521507032E-4
wednesday |Wednesday,2014093012,11191,7,6.255026360468234E-4
wednesday |Wednesday,2014093013,5267,2,3.7972280235428136E-4
wednesday |Wednesday,2014093017,3899,3,7.694280584765325E-4
wednesday |Wednesday,2014093018,99,2,0.020202020202020204
wednesday |Wednesday,2014093019,8564,2,2.3353573096683791E-4
