kurd |Kurds,2014100506,11836,7,5.914160189253126E-4
kurd |Kurds,2014100402,6613,2,3.0243459851807047E-4
kurd |Kurds,2014100505,6487,0,0.0
kurd |Kurds,2014100401,4570,6,0.001312910284463895
kurd |Kurds,2014100504,3861,0,0.0
kurd |Kurds,2014100400,5285,6,0.0011352885525070956
kurd |Kurds,2014100503,4540,0,0.0
kurd |Kurds,2014100709,5572,18,0.003230437903804738
kurd |Kurds,2014100407,7111,0,0.0
kurd |Kurds,2014100406,10763,0,0.0
kurd |Kurds,2014100501,6148,2,3.2530904359141186E-4
kurd |Kurds,2014100405,10366,1,9.646922631680494E-5
kurd |Kurds,2014100500,11540,11,9.532062391681109E-4
kurd |Kurds,2014100404,3086,0,0.0
kurd |Kurds,2014100409,9932,0,0.0
kurd |Kurds,2014100408,10458,0,0.0
kurd |Kurds,2014100903,4141,0,0.0
kurd |Kurds,2014100613,12260,12,9.787928221859706E-4
kurd |Kurds,2014100904,4854,0,0.0
kurd |Kurds,2014100614,10247,14,0.0013662535376207671
kurd |Kurds,2014100905,7777,0,0.0
kurd |Kurds,2014100615,8801,1,1.1362345188046812E-4
kurd |Kurds,2014100710,7431,24,0.003229713362939039
kurd |Kurds,2014100906,3505,0,0.0
kurd |Kurds,2014100616,10833,2,1.8462106526354657E-4
kurd |Kurds,2014100711,13474,10,7.421701053881549E-4
kurd |Kurds,2014100617,11523,0,0.0
kurd |Kurds,2014100900,3864,2,5.175983436853002E-4
kurd |Kurds,2014100618,10834,2,1.8460402436773122E-4
kurd |Kurds,2014100901,3052,1,3.27653997378768E-4
kurd |Kurds,2014100619,10472,1,9.549274255156608E-5
kurd |Kurds,2014100902,4916,0,0.0
kurd |Kurds,2014100716,9756,5,5.125051250512505E-4
kurd |Kurds,2014100800,3418,4,0.0011702750146284377
kurd |Kurds,2014100717,12018,26,0.002163421534365119
kurd |Kurds,2014100801,4912,0,0.0
kurd |Kurds,2014100718,9824,11,0.0011197068403908795
kurd |Kurds,2014100802,4582,0,0.0
kurd |Kurds,2014100719,8904,7,7.861635220125787E-4
kurd |Kurds,2014100803,4750,0,0.0
kurd |Kurds,2014100712,10146,7,6.899270648531441E-4
kurd |Kurds,2014100804,8238,4,4.8555474629764507E-4
kurd |Kurds,2014100610,8565,18,0.0021015761821366026
kurd |Kurds,2014100713,7382,10,0.00135464643727987
kurd |Kurds,2014100805,6904,0,0.0
kurd |Kurds,2014100611,8676,11,0.0012678653757491932
