asada |ASADA,2014100407,7111,0,0.0
asada |ASADA,2014100406,10763,0,0.0
asada |ASADA,2014100501,6148,0,0.0
asada |ASADA,2014100405,10366,0,0.0
asada |ASADA,2014100500,11540,0,0.0
asada |ASADA,2014100404,3086,0,0.0
asada |ASADA,2014100409,9932,1,1.0068465565847765E-4
asada |ASADA,2014100408,10458,1,9.562057754828839E-5
asada |ASADA,2014100903,4141,0,0.0
asada |ASADA,2014100613,12260,0,0.0
asada |ASADA,2014100904,4854,0,0.0
asada |ASADA,2014100614,10247,1,9.758953840148337E-5
asada |ASADA,2014100905,7777,0,0.0
asada |ASADA,2014100615,8801,2,2.2724690376093625E-4
asada |ASADA,2014100710,7431,0,0.0
asada |ASADA,2014100906,3505,3,8.559201141226819E-4
asada |ASADA,2014100616,10833,6,5.538631957906397E-4
asada |ASADA,2014100711,13474,0,0.0
asada |ASADA,2014100617,11523,4,3.4713182330990195E-4
asada |ASADA,2014100900,3864,5,0.0012939958592132505
asada |ASADA,2014100618,10834,3,2.769060365515968E-4
asada |ASADA,2014100901,3052,0,0.0
asada |ASADA,2014100619,10472,3,2.8647822765469827E-4
asada |ASADA,2014100902,4916,0,0.0
asada |ASADA,2014100716,9756,1,1.025010250102501E-4
asada |ASADA,2014100800,3418,0,0.0
asada |ASADA,2014100717,12018,0,0.0
asada |ASADA,2014100801,4912,0,0.0
asada |ASADA,2014100718,9824,0,0.0
asada |ASADA,2014100802,4582,0,0.0
asada |ASADA,2014100719,8904,1,1.1230907457322552E-4
asada |ASADA,2014100803,4750,0,0.0
asada |ASADA,2014100712,10146,0,0.0
asada |ASADA,2014100804,8238,0,0.0
asada |ASADA,2014100610,8565,0,0.0
asada |ASADA,2014100713,7382,0,0.0
asada |ASADA,2014100805,6904,0,0.0
asada |ASADA,2014100611,8676,0,0.0
asada |ASADA,2014100714,9294,0,0.0
asada |ASADA,2014100806,7696,0,0.0
asada |ASADA,2014100612,7761,0,0.0
asada |ASADA,2014100715,8494,0,0.0
asada |ASADA,2014100807,6298,0,0.0
asada |ASADA,2014100519,13547,0,0.0
asada |ASADA,2014100809,5933,0,0.0
asada |ASADA,2014100518,12589,0,0.0
asada |ASADA,2014100808,7916,0,0.0
