part |parts |part,2014100505,6487,82,0.012640665947279174
part |parts |part,2014100401,4570,25,0.005470459518599562
part |parts |part,2014100504,3861,15,0.003885003885003885
part |parts |part,2014100400,5285,33,0.0062440870387890255
part |parts |part,2014100503,4540,14,0.0030837004405286344
part |parts |part,2014100709,5572,33,0.0059224694903086865
part |parts |part,2014100407,7111,37,0.005203206300098439
part |parts |part,2014100406,10763,16,0.001486574375174208
part |parts |part,2014100501,6148,15,0.002439817826935589
part |parts |part,2014100405,10366,18,0.001736446073702489
part |parts |part,2014100500,11540,10,8.665511265164644E-4
part |parts |part,2014100404,3086,11,0.0035644847699287103
part |parts |part,2014100409,9932,43,0.004329440193314539
part |parts |part,2014100408,10458,28,0.002677376171352075
part |parts |part,2014100903,4141,7,0.0016904129437333977
part |parts |part,2014100613,12260,48,0.003915171288743882
part |parts |part,2014100904,4854,0,0.0
part |parts |part,2014100614,10247,34,0.0033180443056504342
part |parts |part,2014100905,7777,1,1.2858428700012858E-4
part |parts |part,2014100615,8801,25,0.0028405862970117034
part |parts |part,2014100710,7431,18,0.0024222850222042794
part |parts |part,2014100906,3505,28,0.007988587731811698
part |parts |part,2014100616,10833,33,0.0030462475768485184
part |parts |part,2014100711,13474,29,0.0021522933056256494
part |parts |part,2014100617,11523,38,0.0032977523214440686
part |parts |part,2014100900,3864,9,0.002329192546583851
part |parts |part,2014100618,10834,32,0.0029536643898836995
part |parts |part,2014100901,3052,6,0.001965923984272608
part |parts |part,2014100619,10472,35,0.0033422459893048127
part |parts |part,2014100902,4916,6,0.0012205044751830757
part |parts |part,2014100716,9756,31,0.003177531775317753
part |parts |part,2014100800,3418,8,0.0023405500292568754
part |parts |part,2014100717,12018,23,0.0019137959727076053
part |parts |part,2014100801,4912,12,0.0024429967426710096
part |parts |part,2014100718,9824,20,0.002035830618892508
part |parts |part,2014100802,4582,6,0.0013094718463553033
part |parts |part,2014100719,8904,23,0.002583108715184187
part |parts |part,2014100803,4750,11,0.0023157894736842107
part |parts |part,2014100712,10146,32,0.003153952296471516
part |parts |part,2014100804,8238,5,6.069434328720563E-4
part |parts |part,2014100610,8565,57,0.006654991243432574
part |parts |part,2014100713,7382,32,0.004334868599295584
part |parts |part,2014100805,6904,7,0.0010139049826187717
part |parts |part,2014100611,8676,40,0.004610419548178884
part |parts |part,2014100714,9294,26,0.002797503765870454
part |parts |part,2014100806,7696,1,1.2993762993762994E-4
part |parts |part,2014100612,7761,35,0.00450972812781858
part |parts |part,2014100715,8494,19,0.00223687308688486
part |parts |part,2014100807,6298,12,0.001905366783105748
part |parts |part,2014100519,13547,27,0.001993061194360375
part |parts |part,2014100809,5933,22,0.003708073487274566
part |parts |part,2014100518,12589,33,0.002621336087060132
part |parts |part,2014100808,7916,10,0.0012632642748863063
part |parts |part,2014100410,8297,28,0.0033747137519585394
part |parts |part,2014100412,8252,28,0.0033931168201648087
part |parts |part,2014100515,6526,16,0.002451731535396874
part |parts |part,2014100411,8736,20,0.0022893772893772895
part |parts |part,2014100514,7337,21,0.0028622052610058606
part |parts |part,2014100414,8029,22,0.0027400672561962883
part |parts |part,2014100517,16635,25,0.0015028554253080854
part |parts |part,2014100413,7649,45,0.005883121976728984
part |parts |part,2014100516,7164,27,0.0037688442211055275
part |parts |part,2014100416,8535,22,0.0025776215582893965
part |parts |part,2014100511,8203,38,0.004632451542118737
part |parts |part,2014100415,9288,18,0.001937984496124031
part |parts |part,2014100510,7389,23,0.003112735146839897
part |parts |part,2014100418,8794,30,0.0034114168751421424
part |parts |part,2014100513,8653,36,0.004160406795331099
part |parts |part,2014100417,9001,24,0.0026663704032885236
part |parts |part,2014100512,7658,24,0.0031339775398276314
part |parts |part,2014100908,14247,19,0.001333614094195269
part |parts |part,2014100907,7751,12,0.0015481873306670106
part |parts |part,2014100419,8630,37,0.004287369640787949
part |parts |part,2014100909,1000,8,0.008
part |parts |part,2014100721,11447,35,0.0030575696689088844
part |parts |part,2014100722,8294,19,0.002290812635640222
part |parts |part,2014100720,10198,35,0.003432045499117474
part |parts |part,2014100723,5300,17,0.0032075471698113206
part |parts |part,2014100520,14801,37,0.0024998310924937506
part |parts |part,2014100523,12605,18,0.0014280047600158667
part |parts |part,2014100522,10915,19,0.0017407237746220798
part |parts |part,2014100521,14363,30,0.0020887001322843417
part |parts |part,2014100623,8800,18,0.0020454545454545456
part |parts |part,2014100622,9000,38,0.004222222222222222
part |parts |part,2014100621,9007,42,0.004663039857888309
part |parts |part,2014100620,8998,24,0.0026672593909757725
part |parts |part,2014093011,9741,40,0.004106354583718304
part |parts |part,2014093012,11191,52,0.004646591010633545
part |parts |part,2014093013,5267,16,0.003037782418834251
part |parts |part,2014093017,3899,6,0.001538856116953065
part |parts |part,2014093018,99,0,0.0
part |parts |part,2014093019,8564,39,0.00455394675385334
