frawley |Frawley,2014100507,16911,0,0.0
frawley |Frawley,2014100403,6749,0,0.0
frawley |Frawley,2014100506,11836,0,0.0
frawley |Frawley,2014100402,6613,0,0.0
frawley |Frawley,2014100505,6487,0,0.0
frawley |Frawley,2014100401,4570,0,0.0
frawley |Frawley,2014100504,3861,0,0.0
frawley |Frawley,2014100400,5285,0,0.0
frawley |Frawley,2014100503,4540,0,0.0
frawley |Frawley,2014100709,5572,3,5.384063173007897E-4
frawley |Frawley,2014100407,7111,1,1.406271972999578E-4
frawley |Frawley,2014100406,10763,1,9.2910898448388E-5
frawley |Frawley,2014100501,6148,0,0.0
frawley |Frawley,2014100405,10366,0,0.0
frawley |Frawley,2014100500,11540,0,0.0
frawley |Frawley,2014100404,3086,0,0.0
frawley |Frawley,2014100409,9932,0,0.0
frawley |Frawley,2014100408,10458,2,1.9124115509657678E-4
frawley |Frawley,2014100903,4141,1,2.414875633904854E-4
frawley |Frawley,2014100613,12260,2,1.631321370309951E-4
frawley |Frawley,2014100904,4854,0,0.0
frawley |Frawley,2014100614,10247,9,8.783058456133503E-4
frawley |Frawley,2014100905,7777,0,0.0
frawley |Frawley,2014100615,8801,4,4.544938075218725E-4
frawley |Frawley,2014100710,7431,0,0.0
frawley |Frawley,2014100906,3505,0,0.0
frawley |Frawley,2014100616,10833,3,2.7693159789531985E-4
frawley |Frawley,2014100711,13474,1,7.421701053881549E-5
frawley |Frawley,2014100617,11523,115,0.00998003992015968
frawley |Frawley,2014100900,3864,0,0.0
frawley |Frawley,2014100618,10834,57,0.00526121469448034
frawley |Frawley,2014100901,3052,0,0.0
frawley |Frawley,2014100619,10472,24,0.002291825821237586
frawley |Frawley,2014100902,4916,0,0.0
frawley |Frawley,2014100716,9756,27,0.0027675276752767526
frawley |Frawley,2014100800,3418,0,0.0
frawley |Frawley,2014100717,12018,16,0.0013313363288400732
frawley |Frawley,2014100801,4912,0,0.0
frawley |Frawley,2014100718,9824,9,9.161237785016286E-4
frawley |Frawley,2014100802,4582,0,0.0
frawley |Frawley,2014100719,8904,7,7.861635220125787E-4
frawley |Frawley,2014100803,4750,0,0.0
frawley |Frawley,2014100712,10146,1,9.856100926473487E-5
frawley |Frawley,2014100804,8238,0,0.0
frawley |Frawley,2014100610,8565,20,0.002335084646818447
frawley |Frawley,2014100713,7382,3,4.06393931183961E-4
frawley |Frawley,2014100805,6904,0,0.0
frawley |Frawley,2014100611,8676,2,2.305209774089442E-4
frawley |Frawley,2014100714,9294,2,2.1519259737465033E-4
frawley |Frawley,2014100806,7696,0,0.0
frawley |Frawley,2014100612,7761,7,9.01945625563716E-4
frawley |Frawley,2014100715,8494,1,1.177301624676242E-4
frawley |Frawley,2014100807,6298,0,0.0
frawley |Frawley,2014100519,13547,2,1.4763416254521297E-4
frawley |Frawley,2014100809,5933,1,1.6854879487611664E-4
frawley |Frawley,2014100518,12589,9,7.149098419254905E-4
frawley |Frawley,2014100808,7916,0,0.0
frawley |Frawley,2014100410,8297,4,4.821019645655056E-4
frawley |Frawley,2014100412,8252,0,0.0
frawley |Frawley,2014100515,6526,0,0.0
frawley |Frawley,2014100411,8736,0,0.0
frawley |Frawley,2014100514,7337,0,0.0
frawley |Frawley,2014100414,8029,1,1.2454851164528583E-4
frawley |Frawley,2014100517,16635,12,7.21370604147881E-4
frawley |Frawley,2014100413,7649,3,3.922081317819323E-4
frawley |Frawley,2014100516,7164,16,0.002233389168062535
frawley |Frawley,2014100416,8535,0,0.0
frawley |Frawley,2014100511,8203,0,0.0
frawley |Frawley,2014100415,9288,0,0.0
frawley |Frawley,2014100510,7389,1,1.3533631073216944E-4
frawley |Frawley,2014100418,8794,1,1.1371389583807141E-4
frawley |Frawley,2014100513,8653,1,1.1556685542586386E-4
frawley |Frawley,2014100417,9001,1,1.1109876680368848E-4
frawley |Frawley,2014100512,7658,0,0.0
frawley |Frawley,2014100908,14247,0,0.0
frawley |Frawley,2014100907,7751,0,0.0
frawley |Frawley,2014100419,8630,5,5.793742757821553E-4
frawley |Frawley,2014100909,1000,0,0.0
frawley |Frawley,2014100721,11447,2,1.747182667947934E-4
frawley |Frawley,2014100722,8294,0,0.0
frawley |Frawley,2014100720,10198,3,2.941753284957835E-4
