crime |Crime |crime |crimes,2014100810,6053,4,6.608293408227325E-4
crime |Crime |crime |crimes,2014100606,4334,2,4.6146746654360867E-4
crime |Crime |crime |crimes,2014100607,6194,2,3.2289312237649337E-4
crime |Crime |crime |crimes,2014100707,4802,5,0.0010412328196584756
crime |Crime |crime |crimes,2014100813,7061,3,4.24868998725393E-4
crime |Crime |crime |crimes,2014100708,5400,3,5.555555555555556E-4
crime |Crime |crime |crimes,2014100814,6011,3,4.990850108135085E-4
crime |Crime |crime |crimes,2014100705,2740,0,0.0
crime |Crime |crime |crimes,2014100811,6604,8,0.0012113870381586917
crime |Crime |crime |crimes,2014100706,3398,1,2.942907592701589E-4
crime |Crime |crime |crimes,2014100812,5896,6,0.0010176390773405698
crime |Crime |crime |crimes,2014100817,6743,3,4.449058282663503E-4
crime |Crime |crime |crimes,2014100600,15771,3,1.9022256039566293E-4
crime |Crime |crime |crimes,2014100703,5792,2,3.453038674033149E-4
crime |Crime |crime |crimes,2014100818,7400,1,1.3513513513513514E-4
crime |Crime |crime |crimes,2014100601,8669,1,1.1535355865728458E-4
crime |Crime |crime |crimes,2014100704,3010,1,3.322259136212625E-4
crime |Crime |crime |crimes,2014100815,5628,6,0.0010660980810234541
crime |Crime |crime |crimes,2014100701,13455,0,0.0
crime |Crime |crime |crimes,2014100816,7857,2,2.545500827287769E-4
crime |Crime |crime |crimes,2014100702,8524,1,1.1731581417175035E-4
crime |Crime |crime |crimes,2014100509,9287,2,2.153547970281038E-4
crime |Crime |crime |crimes,2014100508,6498,3,4.616805170821791E-4
crime |Crime |crime |crimes,2014100819,4300,5,0.0011627906976744186
crime |Crime |crime |crimes,2014100507,16911,2,1.182662172550411E-4
crime |Crime |crime |crimes,2014100403,6749,1,1.481700992739665E-4
crime |Crime |crime |crimes,2014100506,11836,3,2.5346400811084827E-4
crime |Crime |crime |crimes,2014100402,6613,3,4.536518977771057E-4
crime |Crime |crime |crimes,2014100505,6487,0,0.0
crime |Crime |crime |crimes,2014100401,4570,3,6.564551422319475E-4
crime |Crime |crime |crimes,2014100504,3861,4,0.001036001036001036
crime |Crime |crime |crimes,2014100400,5285,4,7.568590350047304E-4
crime |Crime |crime |crimes,2014100503,4540,1,2.2026431718061675E-4
crime |Crime |crime |crimes,2014100709,5572,3,5.384063173007897E-4
crime |Crime |crime |crimes,2014100407,7111,4,5.625087891998312E-4
crime |Crime |crime |crimes,2014100406,10763,2,1.85821796896776E-4
crime |Crime |crime |crimes,2014100501,6148,4,6.506180871828237E-4
crime |Crime |crime |crimes,2014100405,10366,2,1.9293845263360988E-4
crime |Crime |crime |crimes,2014100500,11540,4,3.466204506065858E-4
crime |Crime |crime |crimes,2014100404,3086,2,6.480881399870382E-4
crime |Crime |crime |crimes,2014100409,9932,4,4.027386226339106E-4
crime |Crime |crime |crimes,2014100408,10458,4,3.8248231019315357E-4
crime |Crime |crime |crimes,2014100903,4141,1,2.414875633904854E-4
crime |Crime |crime |crimes,2014100613,12260,2,1.631321370309951E-4
crime |Crime |crime |crimes,2014100904,4854,1,2.0601565718994644E-4
crime |Crime |crime |crimes,2014100614,10247,11,0.001073484922416317
crime |Crime |crime |crimes,2014100905,7777,2,2.5716857400025716E-4
crime |Crime |crime |crimes,2014100615,8801,4,4.544938075218725E-4
crime |Crime |crime |crimes,2014100710,7431,2,2.6914278024491994E-4
crime |Crime |crime |crimes,2014100906,3505,0,0.0
