australian |Australian |Australians,2014100600,15771,24,0.0015217804831653035
australian |Australian |Australians,2014100703,5792,1,1.7265193370165745E-4
australian |Australian |Australians,2014100818,7400,49,0.006621621621621622
australian |Australian |Australians,2014100601,8669,18,0.0020763640558311225
australian |Australian |Australians,2014100704,3010,3,9.966777408637873E-4
australian |Australian |Australians,2014100815,5628,27,0.004797441364605544
australian |Australian |Australians,2014100701,13455,7,5.202526941657376E-4
australian |Australian |Australians,2014100816,7857,33,0.004200076365024819
australian |Australian |Australians,2014100702,8524,1,1.1731581417175035E-4
australian |Australian |Australians,2014100509,9287,28,0.003014967158393453
australian |Australian |Australians,2014100508,6498,27,0.004155124653739612
australian |Australian |Australians,2014100819,4300,17,0.003953488372093023
australian |Australian |Australians,2014100507,16911,9,5.321979776476849E-4
australian |Australian |Australians,2014100403,6749,2,2.96340198547933E-4
australian |Australian |Australians,2014100506,11836,1,8.448800270361608E-5
australian |Australian |Australians,2014100402,6613,3,4.536518977771057E-4
australian |Australian |Australians,2014100505,6487,11,0.0016956990904886697
australian |Australian |Australians,2014100401,4570,14,0.003063457330415755
australian |Australian |Australians,2014100504,3861,3,7.77000777000777E-4
australian |Australian |Australians,2014100400,5285,9,0.0017029328287606433
australian |Australian |Australians,2014100503,4540,6,0.0013215859030837004
australian |Australian |Australians,2014100709,5572,31,0.005563531945441493
australian |Australian |Australians,2014100407,7111,22,0.003093798340599072
australian |Australian |Australians,2014100406,10763,10,9.291089844838799E-4
australian |Australian |Australians,2014100501,6148,7,0.0011385816525699415
australian |Australian |Australians,2014100405,10366,3,2.894076789504148E-4
australian |Australian |Australians,2014100500,11540,7,6.065857885615251E-4
australian |Australian |Australians,2014100404,3086,11,0.0035644847699287103
australian |Australian |Australians,2014100409,9932,22,0.0022150624244865083
australian |Australian |Australians,2014100408,10458,37,0.0035379613692866703
australian |Australian |Australians,2014100903,4141,2,4.829751267809708E-4
australian |Australian |Australians,2014100613,12260,93,0.007585644371941273
australian |Australian |Australians,2014100904,4854,4,8.240626287597857E-4
australian |Australian |Australians,2014100614,10247,58,0.005660193227286035
australian |Australian |Australians,2014100905,7777,4,5.143371480005143E-4
australian |Australian |Australians,2014100615,8801,31,0.003522327008294512
australian |Australian |Australians,2014100710,7431,28,0.003767998923428879
australian |Australian |Australians,2014100906,3505,15,0.0042796005706134095
australian |Australian |Australians,2014100616,10833,26,0.0024000738484261054
australian |Australian |Australians,2014100711,13474,52,0.003859284548018406
australian |Australian |Australians,2014100617,11523,39,0.003384535277271544
australian |Australian |Australians,2014100900,3864,14,0.0036231884057971015
australian |Australian |Australians,2014100618,10834,49,0.004522798597009415
australian |Australian |Australians,2014100901,3052,5,0.00163826998689384
australian |Australian |Australians,2014100619,10472,46,0.00439266615737204
australian |Australian |Australians,2014100902,4916,2,4.068348250610252E-4
australian |Australian |Australians,2014100716,9756,53,0.005432554325543256
australian |Australian |Australians,2014100800,3418,12,0.003510825043885313
australian |Australian |Australians,2014100717,12018,50,0.0041604260276252285
australian |Australian |Australians,2014100801,4912,9,0.0018322475570032573
australian |Australian |Australians,2014100718,9824,35,0.003562703583061889
australian |Australian |Australians,2014100802,4582,2,4.3649061545176777E-4
australian |Australian |Australians,2014100719,8904,49,0.00550314465408805
australian |Australian |Australians,2014100803,4750,3,6.315789473684211E-4
australian |Australian |Australians,2014100712,10146,54,0.005322294500295683
australian |Australian |Australians,2014100804,8238,6,7.283321194464676E-4
australian |Australian |Australians,2014100610,8565,57,0.006654991243432574
australian |Australian |Australians,2014100713,7382,30,0.00406393931183961
australian |Australian |Australians,2014100805,6904,5,7.242178447276941E-4
australian |Australian |Australians,2014100611,8676,64,0.007376671277086215
australian |Australian |Australians,2014100714,9294,41,0.0044114482461803314
australian |Australian |Australians,2014100806,7696,9,0.0011694386694386695
australian |Australian |Australians,2014100612,7761,66,0.008504058755315036
