sydney |Sydney,2014100701,13455,0,0.0
sydney |Sydney,2014100816,7857,12,0.0015273004963726614
sydney |Sydney,2014100702,8524,2,2.346316283435007E-4
sydney |Sydney,2014100509,9287,6,6.460643910843114E-4
sydney |Sydney,2014100508,6498,4,6.155740227762388E-4
sydney |Sydney,2014100819,4300,18,0.004186046511627907
sydney |Sydney,2014100507,16911,2,1.182662172550411E-4
sydney |Sydney,2014100403,6749,1,1.481700992739665E-4
sydney |Sydney,2014100506,11836,3,2.5346400811084827E-4
sydney |Sydney,2014100402,6613,0,0.0
sydney |Sydney,2014100505,6487,5,7.707723138584862E-4
sydney |Sydney,2014100401,4570,4,8.7527352297593E-4
sydney |Sydney,2014100504,3861,1,2.59000259000259E-4
sydney |Sydney,2014100400,5285,11,0.0020813623462630085
sydney |Sydney,2014100503,4540,2,4.405286343612335E-4
sydney |Sydney,2014100709,5572,6,0.0010768126346015793
sydney |Sydney,2014100407,7111,6,8.437631837997469E-4
sydney |Sydney,2014100406,10763,1,9.2910898448388E-5
sydney |Sydney,2014100501,6148,0,0.0
sydney |Sydney,2014100405,10366,1,9.646922631680494E-5
sydney |Sydney,2014100500,11540,7,6.065857885615251E-4
sydney |Sydney,2014100404,3086,1,3.240440699935191E-4
sydney |Sydney,2014100409,9932,15,0.0015102698348771646
sydney |Sydney,2014100408,10458,14,0.0013386880856760374
sydney |Sydney,2014100903,4141,2,4.829751267809708E-4
sydney |Sydney,2014100613,12260,17,0.0013866231647634583
sydney |Sydney,2014100904,4854,0,0.0
sydney |Sydney,2014100614,10247,14,0.0013662535376207671
sydney |Sydney,2014100905,7777,1,1.2858428700012858E-4
sydney |Sydney,2014100615,8801,13,0.0014771048744460858
sydney |Sydney,2014100710,7431,5,6.728569506122998E-4
sydney |Sydney,2014100906,3505,5,0.0014265335235378032
sydney |Sydney,2014100616,10833,14,0.001292347456844826
sydney |Sydney,2014100711,13474,10,7.421701053881549E-4
sydney |Sydney,2014100617,11523,29,0.002516705718996789
sydney |Sydney,2014100900,3864,1,2.587991718426501E-4
sydney |Sydney,2014100618,10834,16,0.0014768321949418497
sydney |Sydney,2014100901,3052,3,9.82961992136304E-4
sydney |Sydney,2014100619,10472,16,0.0015278838808250573
sydney |Sydney,2014100902,4916,1,2.034174125305126E-4
sydney |Sydney,2014100716,9756,23,0.0023575235752357525
sydney |Sydney,2014100800,3418,5,0.001462843768285547
sydney |Sydney,2014100717,12018,24,0.00199700449326011
sydney |Sydney,2014100801,4912,3,6.107491856677524E-4
sydney |Sydney,2014100718,9824,20,0.002035830618892508
sydney |Sydney,2014100802,4582,0,0.0
sydney |Sydney,2014100719,8904,22,0.0024707996406109615
sydney |Sydney,2014100803,4750,0,0.0
sydney |Sydney,2014100712,10146,14,0.0013798541297062883
sydney |Sydney,2014100804,8238,0,0.0
sydney |Sydney,2014100610,8565,14,0.0016345592527729131
sydney |Sydney,2014100713,7382,11,0.001490111081007857
sydney |Sydney,2014100805,6904,1,1.4484356894553882E-4
sydney |Sydney,2014100611,8676,11,0.0012678653757491932
sydney |Sydney,2014100714,9294,13,0.001398751882935227
sydney |Sydney,2014100806,7696,3,3.8981288981288983E-4
sydney |Sydney,2014100612,7761,9,0.0011596443757247777
sydney |Sydney,2014100715,8494,16,0.0018836825994819873
sydney |Sydney,2014100807,6298,3,4.76341695776437E-4
sydney |Sydney,2014100519,13547,54,0.00398612238872075
sydney |Sydney,2014100809,5933,6,0.0010112927692566998
sydney |Sydney,2014100518,12589,39,0.003097942648343792
sydney |Sydney,2014100808,7916,5,6.316321374431531E-4
sydney |Sydney,2014100410,8297,24,0.002892611787393034
sydney |Sydney,2014100412,8252,12,0.001454192922927775
sydney |Sydney,2014100515,6526,13,0.00199203187250996
sydney |Sydney,2014100411,8736,15,0.001717032967032967
sydney |Sydney,2014100514,7337,13,0.001771841352051247
sydney |Sydney,2014100414,8029,19,0.002366421721260431
sydney |Sydney,2014100517,16635,10,6.011421701232341E-4
sydney |Sydney,2014100413,7649,22,0.0028761929664008366
sydney |Sydney,2014100516,7164,6,8.375209380234506E-4
sydney |Sydney,2014100416,8535,12,0.00140597539543058
sydney |Sydney,2014100511,8203,8,9.752529562355236E-4
sydney |Sydney,2014100415,9288,10,0.0010766580534022395
sydney |Sydney,2014100510,7389,10,0.0013533631073216945
sydney |Sydney,2014100418,8794,12,0.001364566750056857
sydney |Sydney,2014100513,8653,16,0.0018490696868138218
sydney |Sydney,2014100417,9001,14,0.0015553827352516388
sydney |Sydney,2014100512,7658,8,0.0010446591799425438
sydney |Sydney,2014100908,14247,7,4.913315083877308E-4
sydney |Sydney,2014100907,7751,3,3.8704683266675265E-4
sydney |Sydney,2014100419,8630,6,6.952491309385864E-4
sydney |Sydney,2014100909,1000,2,0.002
sydney |Sydney,2014100721,11447,14,0.0012230278675635538
sydney |Sydney,2014100722,8294,8,9.645526886906198E-4
sydney |Sydney,2014100720,10198,10,9.805844283192783E-4
sydney |Sydney,2014100723,5300,3,5.660377358490566E-4
sydney |Sydney,2014100520,14801,30,0.002026890074994933
sydney |Sydney,2014100523,12605,22,0.0017453391511305038
sydney |Sydney,2014100522,10915,73,0.00668804397617957
sydney |Sydney,2014100521,14363,144,0.010025760634964841
sydney |Sydney,2014100623,8800,13,0.0014772727272727272
sydney |Sydney,2014100622,9000,26,0.0028888888888888888
sydney |Sydney,2014100621,9007,18,0.001998445653380704
sydney |Sydney,2014100620,8998,17,0.0018893087352745055
sydney |Sydney,2014093011,9741,24,0.0024638127502309825
sydney |Sydney,2014093012,11191,16,0.0014297203109641676
sydney |Sydney,2014093013,5267,10,0.0018986140117714068
sydney |Sydney,2014093017,3899,5,0.0012823800974608873
sydney |Sydney,2014093018,99,0,0.0
sydney |Sydney,2014093019,8564,14,0.0016347501167678655
