force |force |forces,2014100403,6749,0,0.0
force |force |forces,2014100506,11836,1,8.448800270361608E-5
force |force |forces,2014100402,6613,3,4.536518977771057E-4
force |force |forces,2014100505,6487,0,0.0
force |force |forces,2014100401,4570,3,6.564551422319475E-4
force |force |forces,2014100504,3861,0,0.0
force |force |forces,2014100400,5285,1,1.892147587511826E-4
force |force |forces,2014100503,4540,1,2.2026431718061675E-4
force |force |forces,2014100709,5572,6,0.0010768126346015793
force |force |forces,2014100407,7111,2,2.812543945999156E-4
force |force |forces,2014100406,10763,0,0.0
force |force |forces,2014100501,6148,4,6.506180871828237E-4
force |force |forces,2014100405,10366,1,9.646922631680494E-5
force |force |forces,2014100500,11540,2,1.733102253032929E-4
force |force |forces,2014100404,3086,1,3.240440699935191E-4
force |force |forces,2014100409,9932,10,0.0010068465565847766
force |force |forces,2014100408,10458,4,3.8248231019315357E-4
force |force |forces,2014100903,4141,1,2.414875633904854E-4
force |force |forces,2014100613,12260,7,5.709624796084829E-4
force |force |forces,2014100904,4854,0,0.0
force |force |forces,2014100614,10247,4,3.9035815360593347E-4
force |force |forces,2014100905,7777,5,6.429214350006429E-4
force |force |forces,2014100615,8801,3,3.408703556414044E-4
force |force |forces,2014100710,7431,4,5.382855604898399E-4
force |force |forces,2014100906,3505,1,2.853067047075606E-4
force |force |forces,2014100616,10833,1,9.231053263177328E-5
force |force |forces,2014100711,13474,14,0.0010390381475434169
force |force |forces,2014100617,11523,6,5.20697734964853E-4
force |force |forces,2014100900,3864,0,0.0
force |force |forces,2014100618,10834,10,9.230201218386561E-4
force |force |forces,2014100901,3052,1,3.27653997378768E-4
force |force |forces,2014100619,10472,4,3.819709702062643E-4
force |force |forces,2014100902,4916,0,0.0
force |force |forces,2014100716,9756,14,0.0014350143501435015
force |force |forces,2014100800,3418,7,0.002047981275599766
force |force |forces,2014100717,12018,11,9.152937260775504E-4
force |force |forces,2014100801,4912,4,8.143322475570033E-4
force |force |forces,2014100718,9824,6,6.107491856677524E-4
force |force |forces,2014100802,4582,2,4.3649061545176777E-4
force |force |forces,2014100719,8904,3,3.3692722371967657E-4
force |force |forces,2014100803,4750,1,2.105263157894737E-4
force |force |forces,2014100712,10146,10,9.856100926473486E-4
force |force |forces,2014100804,8238,0,0.0
force |force |forces,2014100610,8565,22,0.0025685931115002917
force |force |forces,2014100713,7382,10,0.00135464643727987
force |force |forces,2014100805,6904,0,0.0
force |force |forces,2014100611,8676,5,5.763024435223605E-4
force |force |forces,2014100714,9294,8,8.607703894986013E-4
force |force |forces,2014100806,7696,0,0.0
force |force |forces,2014100612,7761,3,3.8654812524159255E-4
force |force |forces,2014100715,8494,14,0.0016482222745467388
force |force |forces,2014100807,6298,7,0.0011114639568116863
force |force |forces,2014100519,13547,2,1.4763416254521297E-4
force |force |forces,2014100809,5933,2,3.370975897522333E-4
force |force |forces,2014100518,12589,3,2.3830328064183018E-4
force |force |forces,2014100808,7916,3,3.7897928246589187E-4
force |force |forces,2014100410,8297,15,0.001807882367120646
force |force |forces,2014100412,8252,4,4.847309743092584E-4
force |force |forces,2014100515,6526,0,0.0
force |force |forces,2014100411,8736,4,4.578754578754579E-4
force |force |forces,2014100514,7337,2,2.725909772386534E-4
force |force |forces,2014100414,8029,7,8.718395815170009E-4
force |force |forces,2014100517,16635,3,1.8034265103697024E-4
