world |World |worlds |world,2014100815,5628,31,0.00550817341862118
world |World |worlds |world,2014100701,13455,41,0.0030471943515421778
world |World |worlds |world,2014100816,7857,44,0.0056001018200330915
world |World |worlds |world,2014100702,8524,96,0.011262318160488035
world |World |worlds |world,2014100509,9287,38,0.004091741143533972
world |World |worlds |world,2014100508,6498,42,0.006463527239150508
world |World |worlds |world,2014100819,4300,27,0.006279069767441861
world |World |worlds |world,2014100507,16911,14,8.278635207852877E-4
world |World |worlds |world,2014100403,6749,16,0.002370721588383464
world |World |worlds |world,2014100506,11836,47,0.003970936127069956
world |World |worlds |world,2014100402,6613,13,0.001965824890367458
world |World |worlds |world,2014100505,6487,14,0.0021581624788037613
world |World |worlds |world,2014100401,4570,23,0.0050328227571115975
world |World |worlds |world,2014100504,3861,73,0.018907018907018906
world |World |worlds |world,2014100400,5285,25,0.004730368968779565
world |World |worlds |world,2014100503,4540,23,0.005066079295154185
world |World |worlds |world,2014100709,5572,62,0.011127063890882987
world |World |worlds |world,2014100407,7111,42,0.005906342286598228
world |World |worlds |world,2014100406,10763,30,0.00278732695345164
world |World |worlds |world,2014100501,6148,25,0.004066363044892648
world |World |worlds |world,2014100405,10366,10,9.646922631680494E-4
world |World |worlds |world,2014100500,11540,181,0.015684575389948007
world |World |worlds |world,2014100404,3086,12,0.0038885288399222295
world |World |worlds |world,2014100409,9932,66,0.0066451872734595244
world |World |worlds |world,2014100408,10458,33,0.003155479059093517
world |World |worlds |world,2014100903,4141,11,0.0026563631972953395
world |World |worlds |world,2014100613,12260,60,0.004893964110929853
world |World |worlds |world,2014100904,4854,10,0.0020601565718994645
world |World |worlds |world,2014100614,10247,113,0.01102761783936762
world |World |worlds |world,2014100905,7777,15,0.0019287643050019288
world |World |worlds |world,2014100615,8801,47,0.005340302238382002
world |World |worlds |world,2014100710,7431,78,0.010496568429551878
world |World |worlds |world,2014100906,3505,11,0.003138373751783167
world |World |worlds |world,2014100616,10833,46,0.004246284501061571
world |World |worlds |world,2014100711,13474,93,0.006902181980109841
world |World |worlds |world,2014100617,11523,55,0.004773062570511152
world |World |worlds |world,2014100900,3864,15,0.0038819875776397515
world |World |worlds |world,2014100618,10834,43,0.003968986523906221
world |World |worlds |world,2014100901,3052,16,0.005242463958060288
world |World |worlds |world,2014100619,10472,67,0.006398013750954928
world |World |worlds |world,2014100902,4916,17,0.0034580960130187145
world |World |worlds |world,2014100716,9756,49,0.005022550225502255
world |World |worlds |world,2014100800,3418,16,0.004681100058513751
world |World |worlds |world,2014100717,12018,56,0.004659677150940256
world |World |worlds |world,2014100801,4912,44,0.008957654723127036
world |World |worlds |world,2014100718,9824,62,0.0063110749185667754
world |World |worlds |world,2014100802,4582,9,0.001964207769532955
world |World |worlds |world,2014100719,8904,59,0.006626235399820306
world |World |worlds |world,2014100803,4750,8,0.0016842105263157896
world |World |worlds |world,2014100712,10146,35,0.0034496353242657206
world |World |worlds |world,2014100804,8238,15,0.001820830298616169
world |World |worlds |world,2014100610,8565,69,0.008056042031523642
world |World |worlds |world,2014100713,7382,29,0.003928474668111623
world |World |worlds |world,2014100805,6904,13,0.0018829663962920047
world |World |worlds |world,2014100611,8676,61,0.007030889810972799
world |World |worlds |world,2014100714,9294,54,0.005810200129115558
world |World |worlds |world,2014100806,7696,20,0.002598752598752599
world |World |worlds |world,2014100612,7761,49,0.006313619378946012
world |World |worlds |world,2014100715,8494,69,0.008123381210266071
world |World |worlds |world,2014100807,6298,26,0.00412829469672912
world |World |worlds |world,2014100519,13547,394,0.029083930021406953
world |World |worlds |world,2014100809,5933,33,0.005562110230911849
world |World |worlds |world,2014100518,12589,493,0.039161172452140756
world |World |worlds |world,2014100808,7916,28,0.0035371399696816574
world |World |worlds |world,2014100410,8297,58,0.006990478486199831
world |World |worlds |world,2014100412,8252,120,0.014541929229277752
world |World |worlds |world,2014100515,6526,47,0.007201961385228318
world |World |worlds |world,2014100411,8736,166,0.0190018315018315
world |World |worlds |world,2014100514,7337,48,0.006542183453727681
world |World |worlds |world,2014100414,8029,167,0.020799601444762734
world |World |worlds |world,2014100517,16635,1078,0.06480312593928464
world |World |worlds |world,2014100413,7649,41,0.005360177801019741
world |World |worlds |world,2014100516,7164,56,0.007816862088218872
world |World |worlds |world,2014100416,8535,48,0.00562390158172232
world |World |worlds |world,2014100511,8203,79,0.009630622942825795
world |World |worlds |world,2014100415,9288,256,0.02756244616709733
world |World |worlds |world,2014100510,7389,55,0.007443497090269319
world |World |worlds |world,2014100418,8794,116,0.013190811917216284
world |World |worlds |world,2014100513,8653,41,0.0047382410724604185
world |World |worlds |world,2014100417,9001,235,0.026108210198866794
world |World |worlds |world,2014100512,7658,104,0.013580569339253069
world |World |worlds |world,2014100908,14247,66,0.004632554221941461
world |World |worlds |world,2014100907,7751,27,0.003483421494000774
world |World |worlds |world,2014100419,8630,109,0.012630359212050985
world |World |worlds |world,2014100909,1000,13,0.013
world |World |worlds |world,2014100721,11447,82,0.007163448938586529
world |World |worlds |world,2014100722,8294,68,0.008198697853870267
world |World |worlds |world,2014100720,10198,55,0.005393214355756031
world |World |worlds |world,2014100723,5300,29,0.005471698113207547
world |World |worlds |world,2014100520,14801,397,0.026822511992432945
world |World |worlds |world,2014100523,12605,204,0.01618405394684649
world |World |worlds |world,2014100522,10915,175,0.01603298213467705
world |World |worlds |world,2014100521,14363,202,0.0140639142240479
world |World |worlds |world,2014100623,8800,47,0.005340909090909091
world |World |worlds |world,2014100622,9000,63,0.007
world |World |worlds |world,2014100621,9007,36,0.003996891306761408
world |World |worlds |world,2014100620,8998,52,0.00577906201378084
world |World |worlds |world,2014093011,9741,44,0.004516990042090135
world |World |worlds |world,2014093012,11191,58,0.005182736127245108
world |World |worlds |world,2014093013,5267,25,0.004746535029428517
world |World |worlds |world,2014093017,3899,56,0.01436265709156194
world |World |worlds |world,2014093018,99,1,0.010101010101010102
world |World |worlds |world,2014093019,8564,57,0.006655768332554881
