payment |payment |payments,2014100819,4300,11,0.0025581395348837207
payment |payment |payments,2014100507,16911,1,5.913310862752055E-5
payment |payment |payments,2014100403,6749,0,0.0
payment |payment |payments,2014100506,11836,0,0.0
payment |payment |payments,2014100402,6613,2,3.0243459851807047E-4
payment |payment |payments,2014100505,6487,1,1.5415446277169725E-4
payment |payment |payments,2014100401,4570,0,0.0
payment |payment |payments,2014100504,3861,0,0.0
payment |payment |payments,2014100400,5285,0,0.0
payment |payment |payments,2014100503,4540,1,2.2026431718061675E-4
payment |payment |payments,2014100709,5572,2,3.589375448671931E-4
payment |payment |payments,2014100407,7111,2,2.812543945999156E-4
payment |payment |payments,2014100406,10763,3,2.78732695345164E-4
payment |payment |payments,2014100501,6148,0,0.0
payment |payment |payments,2014100405,10366,0,0.0
payment |payment |payments,2014100500,11540,1,8.665511265164645E-5
payment |payment |payments,2014100404,3086,1,3.240440699935191E-4
payment |payment |payments,2014100409,9932,0,0.0
payment |payment |payments,2014100408,10458,0,0.0
payment |payment |payments,2014100903,4141,0,0.0
payment |payment |payments,2014100613,12260,3,2.4469820554649265E-4
payment |payment |payments,2014100904,4854,1,2.0601565718994644E-4
payment |payment |payments,2014100614,10247,1,9.758953840148337E-5
payment |payment |payments,2014100905,7777,1,1.2858428700012858E-4
payment |payment |payments,2014100615,8801,1,1.1362345188046812E-4
payment |payment |payments,2014100710,7431,2,2.6914278024491994E-4
payment |payment |payments,2014100906,3505,0,0.0
payment |payment |payments,2014100616,10833,2,1.8462106526354657E-4
payment |payment |payments,2014100711,13474,5,3.7108505269407746E-4
payment |payment |payments,2014100617,11523,3,2.603488674824265E-4
payment |payment |payments,2014100900,3864,2,5.175983436853002E-4
payment |payment |payments,2014100618,10834,2,1.8460402436773122E-4
payment |payment |payments,2014100901,3052,1,3.27653997378768E-4
payment |payment |payments,2014100619,10472,2,1.9098548510313216E-4
payment |payment |payments,2014100902,4916,0,0.0
payment |payment |payments,2014100716,9756,1,1.025010250102501E-4
payment |payment |payments,2014100800,3418,1,2.925687536571094E-4
payment |payment |payments,2014100717,12018,4,3.328340822100183E-4
payment |payment |payments,2014100801,4912,0,0.0
payment |payment |payments,2014100718,9824,4,4.0716612377850165E-4
payment |payment |payments,2014100802,4582,1,2.1824530772588389E-4
payment |payment |payments,2014100719,8904,0,0.0
payment |payment |payments,2014100803,4750,1,2.105263157894737E-4
payment |payment |payments,2014100712,10146,4,3.942440370589395E-4
payment |payment |payments,2014100804,8238,0,0.0
payment |payment |payments,2014100610,8565,9,0.0010507880910683013
payment |payment |payments,2014100713,7382,0,0.0
payment |payment |payments,2014100805,6904,0,0.0
payment |payment |payments,2014100611,8676,2,2.305209774089442E-4
payment |payment |payments,2014100714,9294,3,3.2278889606197545E-4
payment |payment |payments,2014100806,7696,1,1.2993762993762994E-4
payment |payment |payments,2014100612,7761,3,3.8654812524159255E-4
payment |payment |payments,2014100715,8494,1,1.177301624676242E-4
payment |payment |payments,2014100807,6298,0,0.0
payment |payment |payments,2014100519,13547,1,7.381708127260648E-5
payment |payment |payments,2014100809,5933,2,3.370975897522333E-4
payment |payment |payments,2014100518,12589,1,7.943442688061006E-5
