protest |protest |protests,2014100704,3010,0,0.0
protest |protest |protests,2014100815,5628,0,0.0
protest |protest |protests,2014100701,13455,0,0.0
protest |protest |protests,2014100816,7857,5,6.363752068219422E-4
protest |protest |protests,2014100702,8524,2,2.346316283435007E-4
protest |protest |protests,2014100509,9287,2,2.153547970281038E-4
protest |protest |protests,2014100508,6498,3,4.616805170821791E-4
protest |protest |protests,2014100819,4300,0,0.0
protest |protest |protests,2014100507,16911,1,5.913310862752055E-5
protest |protest |protests,2014100403,6749,0,0.0
protest |protest |protests,2014100506,11836,1,8.448800270361608E-5
protest |protest |protests,2014100402,6613,0,0.0
protest |protest |protests,2014100505,6487,4,6.16617851086789E-4
protest |protest |protests,2014100401,4570,0,0.0
protest |protest |protests,2014100504,3861,0,0.0
protest |protest |protests,2014100400,5285,2,3.784295175023652E-4
protest |protest |protests,2014100503,4540,0,0.0
protest |protest |protests,2014100709,5572,2,3.589375448671931E-4
protest |protest |protests,2014100407,7111,3,4.2188159189987344E-4
protest |protest |protests,2014100406,10763,0,0.0
protest |protest |protests,2014100501,6148,0,0.0
protest |protest |protests,2014100405,10366,0,0.0
protest |protest |protests,2014100500,11540,1,8.665511265164645E-5
protest |protest |protests,2014100404,3086,1,3.240440699935191E-4
protest |protest |protests,2014100409,9932,4,4.027386226339106E-4
protest |protest |protests,2014100408,10458,4,3.8248231019315357E-4
protest |protest |protests,2014100903,4141,0,0.0
protest |protest |protests,2014100613,12260,4,3.262642740619902E-4
protest |protest |protests,2014100904,4854,1,2.0601565718994644E-4
protest |protest |protests,2014100614,10247,8,7.807163072118669E-4
protest |protest |protests,2014100905,7777,0,0.0
protest |protest |protests,2014100615,8801,6,6.817407112828088E-4
protest |protest |protests,2014100710,7431,4,5.382855604898399E-4
protest |protest |protests,2014100906,3505,1,2.853067047075606E-4
protest |protest |protests,2014100616,10833,1,9.231053263177328E-5
protest |protest |protests,2014100711,13474,3,2.226510316164465E-4
protest |protest |protests,2014100617,11523,5,4.339147791373774E-4
protest |protest |protests,2014100900,3864,1,2.587991718426501E-4
protest |protest |protests,2014100618,10834,1,9.230201218386561E-5
protest |protest |protests,2014100901,3052,0,0.0
protest |protest |protests,2014100619,10472,1,9.549274255156608E-5
protest |protest |protests,2014100902,4916,0,0.0
protest |protest |protests,2014100716,9756,1,1.025010250102501E-4
protest |protest |protests,2014100800,3418,4,0.0011702750146284377
protest |protest |protests,2014100717,12018,2,1.6641704110500916E-4
protest |protest |protests,2014100801,4912,0,0.0
protest |protest |protests,2014100718,9824,10,0.001017915309446254
protest |protest |protests,2014100802,4582,0,0.0
protest |protest |protests,2014100719,8904,10,0.0011230907457322552
protest |protest |protests,2014100803,4750,0,0.0
protest |protest |protests,2014100712,10146,1,9.856100926473487E-5
protest |protest |protests,2014100804,8238,0,0.0
protest |protest |protests,2014100610,8565,5,5.837711617046118E-4
protest |protest |protests,2014100713,7382,0,0.0
protest |protest |protests,2014100805,6904,0,0.0
protest |protest |protests,2014100611,8676,6,6.915629322268327E-4
protest |protest |protests,2014100714,9294,0,0.0
protest |protest |protests,2014100806,7696,2,2.598752598752599E-4
protest |protest |protests,2014100612,7761,5,6.442468754026543E-4
protest |protest |protests,2014100715,8494,5,5.886508123381211E-4
protest |protest |protests,2014100807,6298,2,3.1756113051762465E-4
protest |protest |protests,2014100519,13547,3,2.2145124381781945E-4
protest |protest |protests,2014100809,5933,3,5.056463846283499E-4
protest |protest |protests,2014100518,12589,1,7.943442688061006E-5
protest |protest |protests,2014100808,7916,5,6.316321374431531E-4
protest |protest |protests,2014100410,8297,5,6.02627455706882E-4
protest |protest |protests,2014100412,8252,3,3.6354823073194375E-4
protest |protest |protests,2014100515,6526,1,1.5323322096230462E-4
protest |protest |protests,2014100411,8736,0,0.0
protest |protest |protests,2014100514,7337,0,0.0
protest |protest |protests,2014100414,8029,0,0.0
protest |protest |protests,2014100517,16635,5,3.0057108506161706E-4
protest |protest |protests,2014100413,7649,2,2.6147208785462153E-4
protest |protest |protests,2014100516,7164,0,0.0
protest |protest |protests,2014100416,8535,3,3.51493848857645E-4
protest |protest |protests,2014100511,8203,5,6.095330976472023E-4
protest |protest |protests,2014100415,9288,3,3.2299741602067185E-4
protest |protest |protests,2014100510,7389,2,2.706726214643389E-4
protest |protest |protests,2014100418,8794,3,3.411416875142142E-4
protest |protest |protests,2014100513,8653,1,1.1556685542586386E-4
protest |protest |protests,2014100417,9001,14,0.0015553827352516388
