fighting |fighting,2014100509,9287,3,3.230321955421557E-4
fighting |fighting,2014100508,6498,4,6.155740227762388E-4
fighting |fighting,2014100819,4300,1,2.3255813953488373E-4
fighting |fighting,2014100507,16911,2,1.182662172550411E-4
fighting |fighting,2014100403,6749,0,0.0
fighting |fighting,2014100506,11836,2,1.6897600540723216E-4
fighting |fighting,2014100402,6613,1,1.5121729925903524E-4
fighting |fighting,2014100505,6487,1,1.5415446277169725E-4
fighting |fighting,2014100401,4570,4,8.7527352297593E-4
fighting |fighting,2014100504,3861,2,5.18000518000518E-4
fighting |fighting,2014100400,5285,2,3.784295175023652E-4
fighting |fighting,2014100503,4540,2,4.405286343612335E-4
fighting |fighting,2014100709,5572,1,1.7946877243359656E-4
fighting |fighting,2014100407,7111,1,1.406271972999578E-4
fighting |fighting,2014100406,10763,0,0.0
fighting |fighting,2014100501,6148,1,1.6265452179570593E-4
fighting |fighting,2014100405,10366,0,0.0
fighting |fighting,2014100500,11540,2,1.733102253032929E-4
fighting |fighting,2014100404,3086,0,0.0
fighting |fighting,2014100409,9932,4,4.027386226339106E-4
fighting |fighting,2014100408,10458,8,7.649646203863071E-4
fighting |fighting,2014100903,4141,0,0.0
fighting |fighting,2014100613,12260,3,2.4469820554649265E-4
fighting |fighting,2014100904,4854,3,6.180469715698393E-4
fighting |fighting,2014100614,10247,13,0.0012686639992192837
fighting |fighting,2014100905,7777,3,3.8575286100038574E-4
fighting |fighting,2014100615,8801,4,4.544938075218725E-4
fighting |fighting,2014100710,7431,4,5.382855604898399E-4
fighting |fighting,2014100906,3505,1,2.853067047075606E-4
fighting |fighting,2014100616,10833,3,2.7693159789531985E-4
fighting |fighting,2014100711,13474,7,5.195190737717084E-4
fighting |fighting,2014100617,11523,3,2.603488674824265E-4
fighting |fighting,2014100900,3864,5,0.0012939958592132505
fighting |fighting,2014100618,10834,3,2.769060365515968E-4
fighting |fighting,2014100901,3052,3,9.82961992136304E-4
fighting |fighting,2014100619,10472,0,0.0
fighting |fighting,2014100902,4916,1,2.034174125305126E-4
fighting |fighting,2014100716,9756,6,6.150061500615006E-4
fighting |fighting,2014100800,3418,3,8.777062609713282E-4
fighting |fighting,2014100717,12018,7,5.82459643867532E-4
fighting |fighting,2014100801,4912,3,6.107491856677524E-4
fighting |fighting,2014100718,9824,5,5.08957654723127E-4
fighting |fighting,2014100802,4582,0,0.0
fighting |fighting,2014100719,8904,3,3.3692722371967657E-4
