crossing |crossing,2014100223,8580,0,0.0
crossing |crossing,2014100401,4570,0,0.0
crossing |crossing,2014100504,3861,0,0.0
crossing |crossing,2014100400,5285,0,0.0
crossing |crossing,2014100503,4540,0,0.0
crossing |crossing,2014100709,5572,0,0.0
crossing |crossing,2014100407,7111,2,2.812543945999156E-4
crossing |crossing,2014100406,10763,2,1.85821796896776E-4
crossing |crossing,2014100501,6148,1,1.6265452179570593E-4
crossing |crossing,2014100405,10366,0,0.0
crossing |crossing,2014100500,11540,1,8.665511265164645E-5
crossing |crossing,2014100404,3086,0,0.0
crossing |crossing,2014100409,9932,0,0.0
crossing |crossing,2014100408,10458,4,3.8248231019315357E-4
crossing |crossing,2014100903,4141,1,2.414875633904854E-4
crossing |crossing,2014100613,12260,1,8.156606851549755E-5
crossing |crossing,2014100904,4854,0,0.0
crossing |crossing,2014100614,10247,0,0.0
crossing |crossing,2014100905,7777,0,0.0
crossing |crossing,2014100615,8801,1,1.1362345188046812E-4
crossing |crossing,2014100710,7431,0,0.0
crossing |crossing,2014100906,3505,0,0.0
crossing |crossing,2014100616,10833,2,1.8462106526354657E-4
crossing |crossing,2014100711,13474,2,1.4843402107763098E-4
crossing |crossing,2014100617,11523,0,0.0
crossing |crossing,2014100900,3864,0,0.0
crossing |crossing,2014100618,10834,2,1.8460402436773122E-4
crossing |crossing,2014100901,3052,0,0.0
crossing |crossing,2014100619,10472,2,1.9098548510313216E-4
crossing |crossing,2014100902,4916,0,0.0
crossing |crossing,2014100716,9756,3,3.075030750307503E-4
crossing |crossing,2014100800,3418,0,0.0
crossing |crossing,2014100717,12018,3,2.4962556165751375E-4
crossing |crossing,2014100801,4912,1,2.0358306188925082E-4
crossing |crossing,2014100718,9824,3,3.053745928338762E-4
crossing |crossing,2014100802,4582,0,0.0
crossing |crossing,2014100719,8904,4,4.492362982929021E-4
crossing |crossing,2014100803,4750,0,0.0
crossing |crossing,2014100712,10146,2,1.9712201852946975E-4
crossing |crossing,2014100804,8238,0,0.0
crossing |crossing,2014100610,8565,1,1.1675423234092235E-4
crossing |crossing,2014100713,7382,1,1.35464643727987E-4
crossing |crossing,2014100805,6904,0,0.0
crossing |crossing,2014100611,8676,0,0.0
crossing |crossing,2014100714,9294,1,1.0759629868732516E-4
crossing |crossing,2014100806,7696,1,1.2993762993762994E-4
crossing |crossing,2014100612,7761,1,1.2884937508053087E-4
crossing |crossing,2014100715,8494,0,0.0
crossing |crossing,2014100807,6298,0,0.0
crossing |crossing,2014100519,13547,1,7.381708127260648E-5
crossing |crossing,2014100809,5933,3,5.056463846283499E-4
crossing |crossing,2014100518,12589,1,7.943442688061006E-5
crossing |crossing,2014100808,7916,1,1.2632642748863063E-4
crossing |crossing,2014100410,8297,1,1.205254911413764E-4
crossing |crossing,2014100412,8252,0,0.0
crossing |crossing,2014100515,6526,0,0.0
crossing |crossing,2014100411,8736,2,2.2893772893772894E-4
crossing |crossing,2014100514,7337,1,1.362954886193267E-4
crossing |crossing,2014100414,8029,0,0.0
crossing |crossing,2014100517,16635,2,1.2022843402464683E-4
crossing |crossing,2014100413,7649,0,0.0
crossing |crossing,2014100516,7164,0,0.0
crossing |crossing,2014100416,8535,0,0.0
crossing |crossing,2014100511,8203,1,1.2190661952944045E-4
crossing |crossing,2014100415,9288,2,2.153316106804479E-4
crossing |crossing,2014100510,7389,0,0.0
crossing |crossing,2014100418,8794,1,1.1371389583807141E-4
crossing |crossing,2014100513,8653,0,0.0
crossing |crossing,2014100417,9001,1,1.1109876680368848E-4
crossing |crossing,2014100512,7658,1,1.3058239749281798E-4
crossing |crossing,2014100908,14247,2,1.4038043096792306E-4
crossing |crossing,2014100907,7751,1,1.2901561088891756E-4
crossing |crossing,2014100419,8630,2,2.317497103128621E-4
crossing |crossing,2014100909,1000,0,0.0
crossing |crossing,2014100721,11447,1,8.73591333973967E-5
crossing |crossing,2014100722,8294,0,0.0
crossing |crossing,2014100720,10198,8,7.844675426554226E-4
crossing |crossing,2014100723,5300,1,1.8867924528301886E-4
crossing |crossing,2014100520,14801,0,0.0
crossing |crossing,2014100523,12605,0,0.0
