ban |ban |bans,2014100816,7857,2,2.545500827287769E-4
ban |ban |bans,2014100702,8524,1,1.1731581417175035E-4
ban |ban |bans,2014100509,9287,3,3.230321955421557E-4
ban |ban |bans,2014100508,6498,7,0.0010772545398584179
ban |ban |bans,2014100819,4300,4,9.302325581395349E-4
ban |ban |bans,2014100507,16911,1,5.913310862752055E-5
ban |ban |bans,2014100403,6749,1,1.481700992739665E-4
ban |ban |bans,2014100506,11836,0,0.0
ban |ban |bans,2014100402,6613,2,3.0243459851807047E-4
ban |ban |bans,2014100505,6487,0,0.0
ban |ban |bans,2014100401,4570,2,4.37636761487965E-4
ban |ban |bans,2014100504,3861,1,2.59000259000259E-4
ban |ban |bans,2014100400,5285,2,3.784295175023652E-4
ban |ban |bans,2014100503,4540,3,6.607929515418502E-4
ban |ban |bans,2014100709,5572,2,3.589375448671931E-4
ban |ban |bans,2014100407,7111,4,5.625087891998312E-4
ban |ban |bans,2014100406,10763,3,2.78732695345164E-4
ban |ban |bans,2014100501,6148,0,0.0
ban |ban |bans,2014100405,10366,3,2.894076789504148E-4
ban |ban |bans,2014100500,11540,2,1.733102253032929E-4
ban |ban |bans,2014100404,3086,1,3.240440699935191E-4
ban |ban |bans,2014100409,9932,10,0.0010068465565847766
ban |ban |bans,2014100408,10458,9,8.605851979345956E-4
ban |ban |bans,2014100903,4141,1,2.414875633904854E-4
ban |ban |bans,2014100613,12260,2,1.631321370309951E-4
ban |ban |bans,2014100904,4854,1,2.0601565718994644E-4
ban |ban |bans,2014100614,10247,14,0.0013662535376207671
ban |ban |bans,2014100905,7777,0,0.0
ban |ban |bans,2014100615,8801,8,9.08987615043745E-4
ban |ban |bans,2014100710,7431,2,2.6914278024491994E-4
ban |ban |bans,2014100906,3505,1,2.853067047075606E-4
ban |ban |bans,2014100616,10833,5,4.615526631588664E-4
ban |ban |bans,2014100711,13474,4,2.9686804215526197E-4
ban |ban |bans,2014100617,11523,2,1.7356591165495098E-4
ban |ban |bans,2014100900,3864,0,0.0
ban |ban |bans,2014100618,10834,3,2.769060365515968E-4
ban |ban |bans,2014100901,3052,2,6.55307994757536E-4
