seat |seat |seats,2014100816,7857,5,6.363752068219422E-4
seat |seat |seats,2014100702,8524,0,0.0
seat |seat |seats,2014100509,9287,1,1.076773985140519E-4
seat |seat |seats,2014100508,6498,4,6.155740227762388E-4
seat |seat |seats,2014100819,4300,4,9.302325581395349E-4
seat |seat |seats,2014100507,16911,7,4.1393176039264385E-4
seat |seat |seats,2014100403,6749,0,0.0
seat |seat |seats,2014100506,11836,1,8.448800270361608E-5
seat |seat |seats,2014100402,6613,2,3.0243459851807047E-4
seat |seat |seats,2014100505,6487,0,0.0
seat |seat |seats,2014100401,4570,1,2.188183807439825E-4
seat |seat |seats,2014100504,3861,0,0.0
seat |seat |seats,2014100400,5285,0,0.0
seat |seat |seats,2014100503,4540,4,8.81057268722467E-4
seat |seat |seats,2014100709,5572,2,3.589375448671931E-4
seat |seat |seats,2014100407,7111,1,1.406271972999578E-4
seat |seat |seats,2014100406,10763,1,9.2910898448388E-5
seat |seat |seats,2014100501,6148,0,0.0
seat |seat |seats,2014100405,10366,0,0.0
seat |seat |seats,2014100500,11540,1,8.665511265164645E-5
seat |seat |seats,2014100404,3086,0,0.0
seat |seat |seats,2014100409,9932,3,3.0205396697543293E-4
seat |seat |seats,2014100408,10458,2,1.9124115509657678E-4
seat |seat |seats,2014100903,4141,1,2.414875633904854E-4
seat |seat |seats,2014100613,12260,7,5.709624796084829E-4
seat |seat |seats,2014100904,4854,0,0.0
seat |seat |seats,2014100614,10247,3,2.927686152044501E-4
seat |seat |seats,2014100905,7777,0,0.0
seat |seat |seats,2014100615,8801,5,5.681172594023407E-4
seat |seat |seats,2014100710,7431,11,0.0014802852913470596
seat |seat |seats,2014100906,3505,0,0.0
seat |seat |seats,2014100616,10833,6,5.538631957906397E-4
seat |seat |seats,2014100711,13474,8,5.937360843105239E-4
seat |seat |seats,2014100617,11523,6,5.20697734964853E-4
seat |seat |seats,2014100900,3864,3,7.763975155279503E-4
seat |seat |seats,2014100618,10834,4,3.6920804873546244E-4
seat |seat |seats,2014100901,3052,2,6.55307994757536E-4
seat |seat |seats,2014100619,10472,10,9.549274255156608E-4
seat |seat |seats,2014100902,4916,1,2.034174125305126E-4
seat |seat |seats,2014100716,9756,6,6.150061500615006E-4
seat |seat |seats,2014100800,3418,1,2.925687536571094E-4
seat |seat |seats,2014100717,12018,35,0.0029122982193376602
seat |seat |seats,2014100801,4912,0,0.0
seat |seat |seats,2014100718,9824,55,0.005598534201954397
seat |seat |seats,2014100802,4582,0,0.0
seat |seat |seats,2014100719,8904,9,0.0010107816711590297
seat |seat |seats,2014100803,4750,2,4.210526315789474E-4
seat |seat |seats,2014100712,10146,8,7.88488074117879E-4
seat |seat |seats,2014100804,8238,2,2.4277737314882253E-4
seat |seat |seats,2014100610,8565,4,4.670169293636894E-4
seat |seat |seats,2014100713,7382,5,6.77323218639935E-4
seat |seat |seats,2014100805,6904,0,0.0
seat |seat |seats,2014100611,8676,7,8.068234209313047E-4
seat |seat |seats,2014100714,9294,1,1.0759629868732516E-4
seat |seat |seats,2014100806,7696,0,0.0
seat |seat |seats,2014100612,7761,11,0.0014173431258858395
seat |seat |seats,2014100715,8494,2,2.354603249352484E-4
seat |seat |seats,2014100807,6298,5,7.939028262940616E-4
seat |seat |seats,2014100519,13547,10,7.381708127260648E-4
seat |seat |seats,2014100809,5933,1,1.6854879487611664E-4
seat |seat |seats,2014100518,12589,12,9.532131225673207E-4
seat |seat |seats,2014100808,7916,1,1.2632642748863063E-4
seat |seat |seats,2014100410,8297,6,7.231529468482585E-4
seat |seat |seats,2014100412,8252,5,6.059137178865729E-4
seat |seat |seats,2014100515,6526,13,0.00199203187250996
seat |seat |seats,2014100411,8736,10,0.0011446886446886447
seat |seat |seats,2014100514,7337,2,2.725909772386534E-4
seat |seat |seats,2014100414,8029,3,3.736455349358575E-4
seat |seat |seats,2014100517,16635,8,4.809137360985873E-4
seat |seat |seats,2014100413,7649,5,6.536802196365538E-4
seat |seat |seats,2014100516,7164,1,1.3958682300390843E-4
seat |seat |seats,2014100416,8535,13,0.0015231400117164617
seat |seat |seats,2014100511,8203,3,3.6571985858832134E-4
seat |seat |seats,2014100415,9288,2,2.153316106804479E-4
seat |seat |seats,2014100510,7389,3,4.060089321965083E-4
seat |seat |seats,2014100418,8794,11,0.0012508528542187855
seat |seat |seats,2014100513,8653,1,1.1556685542586386E-4
seat |seat |seats,2014100417,9001,5,5.554938340184424E-4
seat |seat |seats,2014100512,7658,7,9.140767824497258E-4
seat |seat |seats,2014100908,14247,3,2.105706464518846E-4
seat |seat |seats,2014100907,7751,1,1.2901561088891756E-4
seat |seat |seats,2014100419,8630,4,4.634994206257242E-4
seat |seat |seats,2014100909,1000,0,0.0
seat |seat |seats,2014100721,11447,19,0.0016598235345505372
seat |seat |seats,2014100722,8294,14,0.0016879672052085846
seat |seat |seats,2014100720,10198,18,0.001765051970974701
seat |seat |seats,2014100723,5300,2,3.773584905660377E-4
seat |seat |seats,2014100520,14801,5,3.3781501249915546E-4
seat |seat |seats,2014100523,12605,6,4.760015866719556E-4
seat |seat |seats,2014100522,10915,9,8.245533669262483E-4
seat |seat |seats,2014100521,14363,3,2.0887001322843416E-4
seat |seat |seats,2014100623,8800,3,3.4090909090909094E-4
seat |seat |seats,2014100622,9000,2,2.2222222222222223E-4
seat |seat |seats,2014100621,9007,18,0.001998445653380704
seat |seat |seats,2014100620,8998,7,7.77950655701267E-4
seat |seat |seats,2014093011,9741,2,2.053177291859152E-4
seat |seat |seats,2014093012,11191,2,1.7871503887052095E-4
seat |seat |seats,2014093013,5267,3,5.69584203531422E-4
seat |seat |seats,2014093017,3899,2,5.129520389843549E-4
seat |seat |seats,2014093018,99,0,0.0
seat |seat |seats,2014093019,8564,8,9.341429238673517E-4
