afl |AFL,2014100403,6749,0,0.0
afl |AFL,2014100506,11836,1,8.448800270361608E-5
afl |AFL,2014100402,6613,2,3.0243459851807047E-4
afl |AFL,2014100505,6487,2,3.083089255433945E-4
afl |AFL,2014100401,4570,3,6.564551422319475E-4
afl |AFL,2014100504,3861,1,2.59000259000259E-4
afl |AFL,2014100400,5285,5,9.46073793755913E-4
afl |AFL,2014100503,4540,0,0.0
afl |AFL,2014100709,5572,4,7.178750897343862E-4
afl |AFL,2014100407,7111,5,7.031359864997891E-4
afl |AFL,2014100406,10763,5,4.6455449224193997E-4
afl |AFL,2014100501,6148,1,1.6265452179570593E-4
afl |AFL,2014100405,10366,1,9.646922631680494E-5
afl |AFL,2014100500,11540,5,4.332755632582322E-4
afl |AFL,2014100404,3086,0,0.0
afl |AFL,2014100409,9932,9,9.061619009262988E-4
afl |AFL,2014100408,10458,6,5.737234652897303E-4
afl |AFL,2014100903,4141,0,0.0
afl |AFL,2014100613,12260,27,0.002202283849918434
afl |AFL,2014100904,4854,0,0.0
afl |AFL,2014100614,10247,32,0.0031228652288474677
afl |AFL,2014100905,7777,0,0.0
afl |AFL,2014100615,8801,17,0.001931598681967958
afl |AFL,2014100710,7431,9,0.0012111425111021397
afl |AFL,2014100906,3505,1,2.853067047075606E-4
afl |AFL,2014100616,10833,19,0.0017539001200036924
afl |AFL,2014100711,13474,3,2.226510316164465E-4
afl |AFL,2014100617,11523,43,0.0037316671005814457
afl |AFL,2014100900,3864,4,0.0010351966873706005
afl |AFL,2014100618,10834,44,0.004061288536090087
afl |AFL,2014100901,3052,1,3.27653997378768E-4
afl |AFL,2014100619,10472,26,0.002482811306340718
afl |AFL,2014100902,4916,0,0.0
afl |AFL,2014100716,9756,18,0.0018450184501845018
afl |AFL,2014100800,3418,1,2.925687536571094E-4
afl |AFL,2014100717,12018,19,0.001580961890497587
afl |AFL,2014100801,4912,0,0.0
afl |AFL,2014100718,9824,5,5.08957654723127E-4
afl |AFL,2014100802,4582,0,0.0
afl |AFL,2014100719,8904,16,0.0017969451931716084
afl |AFL,2014100803,4750,0,0.0
afl |AFL,2014100712,10146,6,5.913660555884093E-4
afl |AFL,2014100804,8238,0,0.0
afl |AFL,2014100610,8565,13,0.0015178050204319906
afl |AFL,2014100713,7382,13,0.001761040368463831
afl |AFL,2014100805,6904,0,0.0
afl |AFL,2014100611,8676,24,0.0027662517289073307
afl |AFL,2014100714,9294,9,9.683666881859264E-4
afl |AFL,2014100806,7696,0,0.0
afl |AFL,2014100612,7761,17,0.0021904393763690247
afl |AFL,2014100715,8494,11,0.0012950317871438662
afl |AFL,2014100807,6298,0,0.0
afl |AFL,2014100519,13547,104,0.007676976452351074
afl |AFL,2014100809,5933,7,0.0011798415641328165
afl |AFL,2014100518,12589,44,0.0034951147827468423
afl |AFL,2014100808,7916,5,6.316321374431531E-4
afl |AFL,2014100410,8297,4,4.821019645655056E-4
afl |AFL,2014100412,8252,5,6.059137178865729E-4
afl |AFL,2014100515,6526,11,0.001685565430585351
afl |AFL,2014100411,8736,4,4.578754578754579E-4
afl |AFL,2014100514,7337,29,0.003952569169960474
afl |AFL,2014100414,8029,4,4.981940465811433E-4
afl |AFL,2014100517,16635,19,0.001142170123234145
afl |AFL,2014100413,7649,9,0.001176624395345797
afl |AFL,2014100516,7164,10,0.0013958682300390843
afl |AFL,2014100416,8535,9,0.001054481546572935
afl |AFL,2014100511,8203,6,7.314397171766427E-4
afl |AFL,2014100415,9288,2,2.153316106804479E-4
afl |AFL,2014100510,7389,3,4.060089321965083E-4
afl |AFL,2014100418,8794,4,4.5485558335228563E-4
afl |AFL,2014100513,8653,15,0.0017335028313879579
afl |AFL,2014100417,9001,3,3.3329630041106545E-4
afl |AFL,2014100512,7658,9,0.0011752415774353617
afl |AFL,2014100908,14247,9,6.317119393556538E-4
afl |AFL,2014100907,7751,2,2.580312217778351E-4
afl |AFL,2014100419,8630,8,9.269988412514484E-4
afl |AFL,2014100909,1000,0,0.0
afl |AFL,2014100721,11447,15,0.0013103870009609504
afl |AFL,2014100722,8294,8,9.645526886906198E-4
afl |AFL,2014100720,10198,24,0.002353402627966268
afl |AFL,2014100723,5300,2,3.773584905660377E-4
afl |AFL,2014100520,14801,51,0.003445713127491386
afl |AFL,2014100523,12605,14,0.0011106703689012297
afl |AFL,2014100522,10915,36,0.003298213467704993
afl |AFL,2014100521,14363,108,0.00751932047622363
afl |AFL,2014100623,8800,8,9.090909090909091E-4
afl |AFL,2014100622,9000,16,0.0017777777777777779
afl |AFL,2014100621,9007,19,0.002109470411901854
afl |AFL,2014100620,8998,24,0.0026672593909757725
afl |AFL,2014093011,9741,16,0.0016425418334873217
afl |AFL,2014093012,11191,22,0.0019658654275757307
afl |AFL,2014093013,5267,42,0.00797417884943991
afl |AFL,2014093017,3899,4,0.0010259040779687098
afl |AFL,2014093018,99,1,0.010101010101010102
afl |AFL,2014093019,8564,9,0.0010509107893507707
