decision |decisions |decision,2014100818,7400,9,0.0012162162162162162
decision |decisions |decision,2014100601,8669,5,5.767677932864229E-4
decision |decisions |decision,2014100704,3010,0,0.0
decision |decisions |decision,2014100815,5628,9,0.0015991471215351812
decision |decisions |decision,2014100701,13455,1,7.432181345224824E-5
decision |decisions |decision,2014100816,7857,5,6.363752068219422E-4
decision |decisions |decision,2014100702,8524,1,1.1731581417175035E-4
decision |decisions |decision,2014100509,9287,7,7.537417895983633E-4
decision |decisions |decision,2014100508,6498,5,7.694675284702986E-4
decision |decisions |decision,2014100819,4300,0,0.0
decision |decisions |decision,2014100507,16911,0,0.0
decision |decisions |decision,2014100403,6749,0,0.0
decision |decisions |decision,2014100506,11836,0,0.0
decision |decisions |decision,2014100402,6613,1,1.5121729925903524E-4
decision |decisions |decision,2014100505,6487,0,0.0
decision |decisions |decision,2014100401,4570,0,0.0
decision |decisions |decision,2014100504,3861,1,2.59000259000259E-4
decision |decisions |decision,2014100400,5285,2,3.784295175023652E-4
decision |decisions |decision,2014100503,4540,1,2.2026431718061675E-4
decision |decisions |decision,2014100709,5572,3,5.384063173007897E-4
decision |decisions |decision,2014100407,7111,5,7.031359864997891E-4
decision |decisions |decision,2014100406,10763,0,0.0
decision |decisions |decision,2014100501,6148,7,0.0011385816525699415
decision |decisions |decision,2014100405,10366,0,0.0
decision |decisions |decision,2014100500,11540,2,1.733102253032929E-4
decision |decisions |decision,2014100404,3086,0,0.0
decision |decisions |decision,2014100409,9932,6,6.041079339508659E-4
decision |decisions |decision,2014100408,10458,5,4.7810288774144193E-4
decision |decisions |decision,2014100903,4141,1,2.414875633904854E-4
decision |decisions |decision,2014100613,12260,18,0.001468189233278956
decision |decisions |decision,2014100904,4854,2,4.1203131437989287E-4
decision |decisions |decision,2014100614,10247,5,4.879476920074168E-4
decision |decisions |decision,2014100905,7777,4,5.143371480005143E-4
decision |decisions |decision,2014100615,8801,12,0.0013634814225656176
decision |decisions |decision,2014100710,7431,3,4.037141703673799E-4
decision |decisions |decision,2014100906,3505,4,0.0011412268188302425
decision |decisions |decision,2014100616,10833,37,0.0034154897073756115
decision |decisions |decision,2014100711,13474,12,8.90604126465786E-4
decision |decisions |decision,2014100617,11523,13,0.0011281784257571813
decision |decisions |decision,2014100900,3864,3,7.763975155279503E-4
decision |decisions |decision,2014100618,10834,26,0.002399852316780506
decision |decisions |decision,2014100901,3052,1,3.27653997378768E-4
decision |decisions |decision,2014100619,10472,12,0.001145912910618793
decision |decisions |decision,2014100902,4916,1,2.034174125305126E-4
decision |decisions |decision,2014100716,9756,12,0.0012300123001230013
decision |decisions |decision,2014100800,3418,2,5.851375073142189E-4
decision |decisions |decision,2014100717,12018,16,0.0013313363288400732
decision |decisions |decision,2014100801,4912,1,2.0358306188925082E-4
decision |decisions |decision,2014100718,9824,6,6.107491856677524E-4
decision |decisions |decision,2014100802,4582,1,2.1824530772588389E-4
decision |decisions |decision,2014100719,8904,9,0.0010107816711590297
decision |decisions |decision,2014100803,4750,2,4.210526315789474E-4
decision |decisions |decision,2014100712,10146,3,2.9568302779420464E-4
decision |decisions |decision,2014100804,8238,0,0.0
decision |decisions |decision,2014100610,8565,4,4.670169293636894E-4
decision |decisions |decision,2014100713,7382,2,2.70929287455974E-4
decision |decisions |decision,2014100805,6904,0,0.0
decision |decisions |decision,2014100611,8676,1,1.152604887044721E-4
decision |decisions |decision,2014100714,9294,8,8.607703894986013E-4
decision |decisions |decision,2014100806,7696,2,2.598752598752599E-4
decision |decisions |decision,2014100612,7761,1,1.2884937508053087E-4
decision |decisions |decision,2014100715,8494,9,0.0010595714622086178
decision |decisions |decision,2014100807,6298,8,0.0012702445220704986
decision |decisions |decision,2014100519,13547,5,3.690854063630324E-4
decision |decisions |decision,2014100809,5933,7,0.0011798415641328165
decision |decisions |decision,2014100518,12589,3,2.3830328064183018E-4
decision |decisions |decision,2014100808,7916,3,3.7897928246589187E-4
decision |decisions |decision,2014100410,8297,6,7.231529468482585E-4
decision |decisions |decision,2014100412,8252,7,8.482792050412022E-4
decision |decisions |decision,2014100515,6526,8,0.001225865767698437
decision |decisions |decision,2014100411,8736,3,3.4340659340659343E-4
decision |decisions |decision,2014100514,7337,9,0.0012266593975739403
decision |decisions |decision,2014100414,8029,2,2.4909702329057166E-4
decision |decisions |decision,2014100517,16635,7,4.207995190862639E-4
decision |decisions |decision,2014100413,7649,5,6.536802196365538E-4
decision |decisions |decision,2014100516,7164,5,6.979341150195422E-4
decision |decisions |decision,2014100416,8535,6,7.0298769771529E-4
decision |decisions |decision,2014100511,8203,4,4.876264781177618E-4
decision |decisions |decision,2014100415,9288,3,3.2299741602067185E-4
decision |decisions |decision,2014100510,7389,2,2.706726214643389E-4
decision |decisions |decision,2014100418,8794,9,0.0010234250625426426
decision |decisions |decision,2014100513,8653,17,0.0019646365422396855
decision |decisions |decision,2014100417,9001,24,0.0026663704032885236
decision |decisions |decision,2014100512,7658,6,7.834943849569079E-4
decision |decisions |decision,2014100908,14247,4,2.807608619358461E-4
decision |decisions |decision,2014100907,7751,5,6.450780544445878E-4
decision |decisions |decision,2014100419,8630,7,8.111239860950173E-4
decision |decisions |decision,2014100909,1000,0,0.0
decision |decisions |decision,2014100721,11447,12,0.0010483096007687603
decision |decisions |decision,2014100722,8294,0,0.0
decision |decisions |decision,2014100720,10198,9,8.825259854873505E-4
decision |decisions |decision,2014100723,5300,1,1.8867924528301886E-4
decision |decisions |decision,2014100520,14801,8,5.405040199986487E-4
decision |decisions |decision,2014100523,12605,3,2.380007933359778E-4
decision |decisions |decision,2014100522,10915,6,5.497022446174989E-4
decision |decisions |decision,2014100521,14363,6,4.177400264568683E-4
decision |decisions |decision,2014100623,8800,3,3.4090909090909094E-4
decision |decisions |decision,2014100622,9000,5,5.555555555555556E-4
decision |decisions |decision,2014100621,9007,5,5.55123792605751E-4
decision |decisions |decision,2014100620,8998,9,0.0010002222716159147
decision |decisions |decision,2014093011,9741,4,4.106354583718304E-4
decision |decisions |decision,2014093012,11191,7,6.255026360468234E-4
decision |decisions |decision,2014093013,5267,3,5.69584203531422E-4
decision |decisions |decision,2014093017,3899,1,2.5647601949217746E-4
decision |decisions |decision,2014093018,99,0,0.0
decision |decisions |decision,2014093019,8564,6,7.006071929005138E-4
