money |Money |money,4/10/2014,20,2,0.1
money |Money |money,5/10/2014,13,4,0.3076923076923077
money |Money |money,6/10/2014,23,3,0.13043478260869565
money |Money |money,8/10/2014,21,2,0.09523809523809523
money |Money |money,30/09/2014,25,5,0.2
money |Money |money,9/10/2014,21,3,0.14285714285714285
money |Money |money,7/10/2014,23,5,0.21739130434782608
money |Money |money,2/10/2014,24,1,0.041666666666666664
money |Money |money,1/10/2014,18,4,0.2222222222222222
money |Money |money,3/10/2014,20,1,0.05
