ban |ban |bans,4/10/2014,20,1,0.05
ban |ban |bans,5/10/2014,13,0,0.0
ban |ban |bans,6/10/2014,23,0,0.0
ban |ban |bans,8/10/2014,21,1,0.047619047619047616
ban |ban |bans,30/09/2014,25,0,0.0
ban |ban |bans,9/10/2014,21,2,0.09523809523809523
ban |ban |bans,7/10/2014,23,0,0.0
ban |ban |bans,2/10/2014,24,3,0.125
ban |ban |bans,1/10/2014,18,3,0.16666666666666666
ban |ban |bans,3/10/2014,20,3,0.15
