train |train |trains,4/10/2014,20,2,0.1
train |train |trains,5/10/2014,13,0,0.0
train |train |trains,6/10/2014,23,0,0.0
train |train |trains,8/10/2014,21,0,0.0
train |train |trains,30/09/2014,25,3,0.12
train |train |trains,9/10/2014,21,0,0.0
train |train |trains,7/10/2014,23,1,0.043478260869565216
train |train |trains,2/10/2014,24,1,0.041666666666666664
train |train |trains,1/10/2014,18,1,0.05555555555555555
train |train |trains,3/10/2014,20,2,0.1
