british |British,4/10/2014,20,4,0.2
british |British,5/10/2014,13,2,0.15384615384615385
british |British,6/10/2014,23,1,0.043478260869565216
british |British,8/10/2014,21,1,0.047619047619047616
british |British,30/09/2014,25,0,0.0
british |British,9/10/2014,21,1,0.047619047619047616
british |British,7/10/2014,23,2,0.08695652173913043
british |British,2/10/2014,24,0,0.0
british |British,1/10/2014,18,0,0.0
british |British,3/10/2014,20,1,0.05
