life |life |Life,4/10/2014,20,4,0.2
life |life |Life,5/10/2014,13,2,0.15384615384615385
life |life |Life,6/10/2014,23,2,0.08695652173913043
life |life |Life,8/10/2014,21,1,0.047619047619047616
life |life |Life,30/09/2014,25,6,0.24
life |life |Life,9/10/2014,21,2,0.09523809523809523
life |life |Life,7/10/2014,23,5,0.21739130434782608
life |life |Life,2/10/2014,24,3,0.125
life |life |Life,1/10/2014,18,2,0.1111111111111111
life |life |Life,3/10/2014,20,3,0.15
