abbott |Abbott,4/10/2014,20,3,0.15
abbott |Abbott,5/10/2014,13,3,0.23076923076923078
abbott |Abbott,6/10/2014,23,2,0.08695652173913043
abbott |Abbott,8/10/2014,21,0,0.0
abbott |Abbott,30/09/2014,25,1,0.04
abbott |Abbott,9/10/2014,21,3,0.14285714285714285
abbott |Abbott,7/10/2014,23,0,0.0
abbott |Abbott,2/10/2014,24,1,0.041666666666666664
abbott |Abbott,1/10/2014,18,4,0.2222222222222222
abbott |Abbott,3/10/2014,20,5,0.25
