people |People |people,4/10/2014,20,11,0.55
people |People |people,5/10/2014,13,7,0.5384615384615384
people |People |people,6/10/2014,23,12,0.5217391304347826
people |People |people,8/10/2014,21,12,0.5714285714285714
people |People |people,30/09/2014,25,13,0.52
people |People |people,9/10/2014,21,10,0.47619047619047616
people |People |people,7/10/2014,23,12,0.5217391304347826
people |People |people,2/10/2014,24,8,0.3333333333333333
people |People |people,1/10/2014,18,7,0.3888888888888889
people |People |people,3/10/2014,20,7,0.35
