border |Borders |border |borders,4/10/2014,20,0,0.0
border |Borders |border |borders,5/10/2014,13,1,0.07692307692307693
border |Borders |border |borders,6/10/2014,23,2,0.08695652173913043
border |Borders |border |borders,8/10/2014,21,2,0.09523809523809523
border |Borders |border |borders,30/09/2014,25,1,0.04
border |Borders |border |borders,9/10/2014,21,0,0.0
border |Borders |border |borders,7/10/2014,23,1,0.043478260869565216
border |Borders |border |borders,2/10/2014,24,2,0.08333333333333333
border |Borders |border |borders,1/10/2014,18,3,0.16666666666666666
border |Borders |border |borders,3/10/2014,20,1,0.05
