body |body,4/10/2014,20,3,0.15
body |body,5/10/2014,13,1,0.07692307692307693
body |body,6/10/2014,23,5,0.21739130434782608
body |body,8/10/2014,21,2,0.09523809523809523
body |body,30/09/2014,25,2,0.08
body |body,9/10/2014,21,1,0.047619047619047616
body |body,7/10/2014,23,4,0.17391304347826086
body |body,2/10/2014,24,1,0.041666666666666664
body |body,1/10/2014,18,0,0.0
body |body,3/10/2014,20,1,0.05
