fund |funds |fund,4/10/2014,20,2,0.1
fund |funds |fund,5/10/2014,13,3,0.23076923076923078
fund |funds |fund,6/10/2014,23,3,0.13043478260869565
fund |funds |fund,8/10/2014,21,1,0.047619047619047616
fund |funds |fund,30/09/2014,25,3,0.12
fund |funds |fund,9/10/2014,21,2,0.09523809523809523
fund |funds |fund,7/10/2014,23,2,0.08695652173913043
fund |funds |fund,2/10/2014,24,0,0.0
fund |funds |fund,1/10/2014,18,3,0.16666666666666666
fund |funds |fund,3/10/2014,20,1,0.05
