woolworth |Woolworths,4/10/2014,20,0,0.0
woolworth |Woolworths,5/10/2014,13,0,0.0
woolworth |Woolworths,6/10/2014,23,1,0.043478260869565216
woolworth |Woolworths,8/10/2014,21,1,0.047619047619047616
woolworth |Woolworths,30/09/2014,25,0,0.0
woolworth |Woolworths,9/10/2014,21,0,0.0
woolworth |Woolworths,7/10/2014,23,0,0.0
woolworth |Woolworths,2/10/2014,24,0,0.0
woolworth |Woolworths,1/10/2014,18,1,0.05555555555555555
woolworth |Woolworths,3/10/2014,20,0,0.0
