part |parts |part,4/10/2014,20,11,0.55
part |parts |part,5/10/2014,13,2,0.15384615384615385
part |parts |part,6/10/2014,23,11,0.4782608695652174
part |parts |part,8/10/2014,21,1,0.047619047619047616
part |parts |part,30/09/2014,25,8,0.32
part |parts |part,9/10/2014,21,5,0.23809523809523808
part |parts |part,7/10/2014,23,8,0.34782608695652173
part |parts |part,2/10/2014,24,5,0.20833333333333334
part |parts |part,1/10/2014,18,5,0.2777777777777778
part |parts |part,3/10/2014,20,7,0.35
