sunday |Sunday,4/10/2014,20,1,0.05
sunday |Sunday,5/10/2014,13,3,0.23076923076923078
sunday |Sunday,6/10/2014,23,4,0.17391304347826086
sunday |Sunday,8/10/2014,21,3,0.14285714285714285
sunday |Sunday,30/09/2014,25,1,0.04
sunday |Sunday,9/10/2014,21,1,0.047619047619047616
sunday |Sunday,7/10/2014,23,2,0.08695652173913043
sunday |Sunday,2/10/2014,24,0,0.0
sunday |Sunday,1/10/2014,18,1,0.05555555555555555
sunday |Sunday,3/10/2014,20,1,0.05
