plastic |plastic,4/10/2014,20,1,0.05
plastic |plastic,5/10/2014,13,1,0.07692307692307693
plastic |plastic,6/10/2014,23,0,0.0
plastic |plastic,8/10/2014,21,1,0.047619047619047616
plastic |plastic,30/09/2014,25,0,0.0
plastic |plastic,9/10/2014,21,0,0.0
plastic |plastic,7/10/2014,23,0,0.0
plastic |plastic,2/10/2014,24,0,0.0
plastic |plastic,1/10/2014,18,0,0.0
plastic |plastic,3/10/2014,20,0,0.0
