henning |Henning,4/10/2014,20,2,0.1
henning |Henning,5/10/2014,13,0,0.0
henning |Henning,6/10/2014,23,0,0.0
henning |Henning,8/10/2014,21,0,0.0
henning |Henning,30/09/2014,25,0,0.0
henning |Henning,9/10/2014,21,0,0.0
henning |Henning,7/10/2014,23,0,0.0
henning |Henning,2/10/2014,24,0,0.0
henning |Henning,1/10/2014,18,0,0.0
henning |Henning,3/10/2014,20,0,0.0
