place |places |place,4/10/2014,20,3,0.15
place |places |place,5/10/2014,13,1,0.07692307692307693
place |places |place,6/10/2014,23,4,0.17391304347826086
place |places |place,8/10/2014,21,4,0.19047619047619047
place |places |place,30/09/2014,25,4,0.16
place |places |place,9/10/2014,21,5,0.23809523809523808
place |places |place,7/10/2014,23,3,0.13043478260869565
place |places |place,2/10/2014,24,8,0.3333333333333333
place |places |place,1/10/2014,18,8,0.4444444444444444
place |places |place,3/10/2014,20,3,0.15
