syria |Syria,4/10/2014,20,3,0.15
syria |Syria,5/10/2014,13,1,0.07692307692307693
syria |Syria,6/10/2014,23,1,0.043478260869565216
syria |Syria,8/10/2014,21,1,0.047619047619047616
syria |Syria,30/09/2014,25,2,0.08
syria |Syria,9/10/2014,21,0,0.0
syria |Syria,7/10/2014,23,2,0.08695652173913043
syria |Syria,2/10/2014,24,0,0.0
syria |Syria,1/10/2014,18,1,0.05555555555555555
syria |Syria,3/10/2014,20,1,0.05
