blake |Blake,4/10/2014,20,0,0.0
blake |Blake,5/10/2014,13,0,0.0
blake |Blake,6/10/2014,23,0,0.0
blake |Blake,8/10/2014,21,1,0.047619047619047616
blake |Blake,30/09/2014,25,0,0.0
blake |Blake,9/10/2014,21,0,0.0
blake |Blake,7/10/2014,23,1,0.043478260869565216
blake |Blake,2/10/2014,24,0,0.0
blake |Blake,1/10/2014,18,0,0.0
blake |Blake,3/10/2014,20,0,0.0
