interest |interests |interest,4/10/2014,20,3,0.15
interest |interests |interest,5/10/2014,13,2,0.15384615384615385
interest |interests |interest,6/10/2014,23,3,0.13043478260869565
interest |interests |interest,8/10/2014,21,6,0.2857142857142857
interest |interests |interest,30/09/2014,25,1,0.04
interest |interests |interest,9/10/2014,21,3,0.14285714285714285
interest |interests |interest,7/10/2014,23,4,0.17391304347826086
interest |interests |interest,2/10/2014,24,3,0.125
interest |interests |interest,1/10/2014,18,3,0.16666666666666666
interest |interests |interest,3/10/2014,20,5,0.25
