crime |Crime |crime |crimes,4/10/2014,20,3,0.15
crime |Crime |crime |crimes,5/10/2014,13,3,0.23076923076923078
crime |Crime |crime |crimes,6/10/2014,23,2,0.08695652173913043
crime |Crime |crime |crimes,8/10/2014,21,3,0.14285714285714285
crime |Crime |crime |crimes,30/09/2014,25,1,0.04
crime |Crime |crime |crimes,9/10/2014,21,3,0.14285714285714285
crime |Crime |crime |crimes,7/10/2014,23,3,0.13043478260869565
crime |Crime |crime |crimes,2/10/2014,24,1,0.041666666666666664
crime |Crime |crime |crimes,1/10/2014,18,3,0.16666666666666666
crime |Crime |crime |crimes,3/10/2014,20,2,0.1
