court |courts |court,4/10/2014,20,3,0.15
court |courts |court,5/10/2014,13,2,0.15384615384615385
court |courts |court,6/10/2014,23,2,0.08695652173913043
court |courts |court,8/10/2014,21,3,0.14285714285714285
court |courts |court,30/09/2014,25,6,0.24
court |courts |court,9/10/2014,21,8,0.38095238095238093
court |courts |court,7/10/2014,23,4,0.17391304347826086
court |courts |court,2/10/2014,24,8,0.3333333333333333
court |courts |court,1/10/2014,18,4,0.2222222222222222
court |courts |court,3/10/2014,20,4,0.2
