abuse |abuse,4/10/2014,20,1,0.05
abuse |abuse,5/10/2014,13,0,0.0
abuse |abuse,6/10/2014,23,1,0.043478260869565216
abuse |abuse,8/10/2014,21,2,0.09523809523809523
abuse |abuse,30/09/2014,25,3,0.12
abuse |abuse,9/10/2014,21,0,0.0
abuse |abuse,7/10/2014,23,1,0.043478260869565216
abuse |abuse,2/10/2014,24,0,0.0
abuse |abuse,1/10/2014,18,2,0.1111111111111111
abuse |abuse,3/10/2014,20,0,0.0
