dewani |Dewani,4/10/2014,20,0,0.0
dewani |Dewani,5/10/2014,13,0,0.0
dewani |Dewani,6/10/2014,23,0,0.0
dewani |Dewani,8/10/2014,21,0,0.0
dewani |Dewani,30/09/2014,25,0,0.0
dewani |Dewani,9/10/2014,21,0,0.0
dewani |Dewani,7/10/2014,23,1,0.043478260869565216
dewani |Dewani,2/10/2014,24,0,0.0
dewani |Dewani,1/10/2014,18,0,0.0
dewani |Dewani,3/10/2014,20,0,0.0
