super |super |Super,4/10/2014,20,1,0.05
super |super |Super,5/10/2014,13,1,0.07692307692307693
super |super |Super,6/10/2014,23,0,0.0
super |super |Super,8/10/2014,21,1,0.047619047619047616
super |super |Super,30/09/2014,25,1,0.04
super |super |Super,9/10/2014,21,0,0.0
super |super |Super,7/10/2014,23,1,0.043478260869565216
super |super |Super,2/10/2014,24,0,0.0
super |super |Super,1/10/2014,18,1,0.05555555555555555
super |super |Super,3/10/2014,20,0,0.0
