investor |investors |investor,4/10/2014,20,0,0.0
investor |investors |investor,5/10/2014,13,2,0.15384615384615385
investor |investors |investor,6/10/2014,23,1,0.043478260869565216
investor |investors |investor,8/10/2014,21,0,0.0
investor |investors |investor,30/09/2014,25,1,0.04
investor |investors |investor,9/10/2014,21,2,0.09523809523809523
investor |investors |investor,7/10/2014,23,4,0.17391304347826086
investor |investors |investor,2/10/2014,24,1,0.041666666666666664
investor |investors |investor,1/10/2014,18,2,0.1111111111111111
investor |investors |investor,3/10/2014,20,0,0.0
