board |board |boards,4/10/2014,20,1,0.05
board |board |boards,5/10/2014,13,1,0.07692307692307693
board |board |boards,6/10/2014,23,3,0.13043478260869565
board |board |boards,8/10/2014,21,2,0.09523809523809523
board |board |boards,30/09/2014,25,1,0.04
board |board |boards,9/10/2014,21,2,0.09523809523809523
board |board |boards,7/10/2014,23,5,0.21739130434782608
board |board |boards,2/10/2014,24,5,0.20833333333333334
board |board |boards,1/10/2014,18,2,0.1111111111111111
board |board |boards,3/10/2014,20,3,0.15
