frawley |Frawley,4/10/2014,20,0,0.0
frawley |Frawley,5/10/2014,13,0,0.0
frawley |Frawley,6/10/2014,23,2,0.08695652173913043
frawley |Frawley,8/10/2014,21,0,0.0
frawley |Frawley,30/09/2014,25,1,0.04
frawley |Frawley,9/10/2014,21,0,0.0
frawley |Frawley,7/10/2014,23,0,0.0
frawley |Frawley,2/10/2014,24,1,0.041666666666666664
frawley |Frawley,1/10/2014,18,1,0.05555555555555555
frawley |Frawley,3/10/2014,20,1,0.05
