scheme |schemes |scheme,4/10/2014,20,0,0.0
scheme |schemes |scheme,5/10/2014,13,1,0.07692307692307693
scheme |schemes |scheme,6/10/2014,23,1,0.043478260869565216
scheme |schemes |scheme,8/10/2014,21,1,0.047619047619047616
scheme |schemes |scheme,30/09/2014,25,2,0.08
scheme |schemes |scheme,9/10/2014,21,2,0.09523809523809523
scheme |schemes |scheme,7/10/2014,23,1,0.043478260869565216
scheme |schemes |scheme,2/10/2014,24,0,0.0
scheme |schemes |scheme,1/10/2014,18,0,0.0
scheme |schemes |scheme,3/10/2014,20,0,0.0
