beam |Beams,4/10/2014,20,0,0.0
beam |Beams,5/10/2014,13,0,0.0
beam |Beams,6/10/2014,23,2,0.08695652173913043
beam |Beams,8/10/2014,21,0,0.0
beam |Beams,30/09/2014,25,0,0.0
beam |Beams,9/10/2014,21,1,0.047619047619047616
beam |Beams,7/10/2014,23,0,0.0
beam |Beams,2/10/2014,24,0,0.0
beam |Beams,1/10/2014,18,0,0.0
beam |Beams,3/10/2014,20,1,0.05
