driver |drivers |driver |Drivers,4/10/2014,20,4,0.2
driver |drivers |driver |Drivers,5/10/2014,13,2,0.15384615384615385
driver |drivers |driver |Drivers,6/10/2014,23,2,0.08695652173913043
driver |drivers |driver |Drivers,8/10/2014,21,1,0.047619047619047616
driver |drivers |driver |Drivers,30/09/2014,25,1,0.04
driver |drivers |driver |Drivers,9/10/2014,21,2,0.09523809523809523
driver |drivers |driver |Drivers,7/10/2014,23,3,0.13043478260869565
driver |drivers |driver |Drivers,2/10/2014,24,1,0.041666666666666664
driver |drivers |driver |Drivers,1/10/2014,18,1,0.05555555555555555
driver |drivers |driver |Drivers,3/10/2014,20,0,0.0
