punch |punch |punches,4/10/2014,20,1,0.05
punch |punch |punches,5/10/2014,13,1,0.07692307692307693
punch |punch |punches,6/10/2014,23,0,0.0
punch |punch |punches,8/10/2014,21,0,0.0
punch |punch |punches,30/09/2014,25,0,0.0
punch |punch |punches,9/10/2014,21,0,0.0
punch |punch |punches,7/10/2014,23,0,0.0
punch |punch |punches,2/10/2014,24,1,0.041666666666666664
punch |punch |punches,1/10/2014,18,0,0.0
punch |punch |punches,3/10/2014,20,0,0.0
