nrl grand final |NRL Grand Final |NRL grand final,4/10/2014,20,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,5/10/2014,13,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,6/10/2014,23,2,0.08695652173913043
nrl grand final |NRL Grand Final |NRL grand final,8/10/2014,21,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,30/09/2014,25,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,9/10/2014,21,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,7/10/2014,23,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2/10/2014,24,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,1/10/2014,18,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,3/10/2014,20,2,0.1
