asada |ASADA,4/10/2014,20,1,0.05
asada |ASADA,5/10/2014,13,0,0.0
asada |ASADA,6/10/2014,23,1,0.043478260869565216
asada |ASADA,8/10/2014,21,0,0.0
asada |ASADA,30/09/2014,25,0,0.0
asada |ASADA,9/10/2014,21,1,0.047619047619047616
asada |ASADA,7/10/2014,23,2,0.08695652173913043
asada |ASADA,2/10/2014,24,3,0.125
asada |ASADA,1/10/2014,18,2,0.1111111111111111
asada |ASADA,3/10/2014,20,0,0.0
