year |years,4/10/2014,20,11,0.55
year |years,5/10/2014,13,5,0.38461538461538464
year |years,6/10/2014,23,11,0.4782608695652174
year |years,8/10/2014,21,9,0.42857142857142855
year |years,30/09/2014,25,11,0.44
year |years,9/10/2014,21,8,0.38095238095238093
year |years,7/10/2014,23,13,0.5652173913043478
year |years,2/10/2014,24,12,0.5
year |years,1/10/2014,18,9,0.5
year |years,3/10/2014,20,10,0.5
