student |students |student |Students,4/10/2014,20,4,0.2
student |students |student |Students,5/10/2014,13,3,0.23076923076923078
student |students |student |Students,6/10/2014,23,0,0.0
student |students |student |Students,8/10/2014,21,2,0.09523809523809523
student |students |student |Students,30/09/2014,25,2,0.08
student |students |student |Students,9/10/2014,21,1,0.047619047619047616
student |students |student |Students,7/10/2014,23,1,0.043478260869565216
student |students |student |Students,2/10/2014,24,3,0.125
student |students |student |Students,1/10/2014,18,1,0.05555555555555555
student |students |student |Students,3/10/2014,20,0,0.0
