trade |Trade |trade |trades,4/10/2014,20,1,0.05
trade |Trade |trade |trades,5/10/2014,13,0,0.0
trade |Trade |trade |trades,6/10/2014,23,4,0.17391304347826086
trade |Trade |trade |trades,8/10/2014,21,6,0.2857142857142857
trade |Trade |trade |trades,30/09/2014,25,1,0.04
trade |Trade |trade |trades,9/10/2014,21,3,0.14285714285714285
trade |Trade |trade |trades,7/10/2014,23,4,0.17391304347826086
trade |Trade |trade |trades,2/10/2014,24,0,0.0
trade |Trade |trade |trades,1/10/2014,18,2,0.1111111111111111
trade |Trade |trade |trades,3/10/2014,20,1,0.05
