bomber |Bombers,4/10/2014,20,2,0.1
bomber |Bombers,5/10/2014,13,0,0.0
bomber |Bombers,6/10/2014,23,2,0.08695652173913043
bomber |Bombers,8/10/2014,21,0,0.0
bomber |Bombers,30/09/2014,25,0,0.0
bomber |Bombers,9/10/2014,21,1,0.047619047619047616
bomber |Bombers,7/10/2014,23,2,0.08695652173913043
bomber |Bombers,2/10/2014,24,4,0.16666666666666666
bomber |Bombers,1/10/2014,18,1,0.05555555555555555
bomber |Bombers,3/10/2014,20,2,0.1
