jack |Jack,4/10/2014,20,1,0.05
jack |Jack,5/10/2014,13,1,0.07692307692307693
jack |Jack,6/10/2014,23,2,0.08695652173913043
jack |Jack,8/10/2014,21,0,0.0
jack |Jack,30/09/2014,25,0,0.0
jack |Jack,9/10/2014,21,0,0.0
jack |Jack,7/10/2014,23,0,0.0
jack |Jack,2/10/2014,24,0,0.0
jack |Jack,1/10/2014,18,0,0.0
jack |Jack,3/10/2014,20,1,0.05
