officer |officers |Officers |officer,4/10/2014,20,6,0.3
officer |officers |Officers |officer,5/10/2014,13,2,0.15384615384615385
officer |officers |Officers |officer,6/10/2014,23,7,0.30434782608695654
officer |officers |Officers |officer,8/10/2014,21,5,0.23809523809523808
officer |officers |Officers |officer,30/09/2014,25,5,0.2
officer |officers |Officers |officer,9/10/2014,21,0,0.0
officer |officers |Officers |officer,7/10/2014,23,1,0.043478260869565216
officer |officers |Officers |officer,2/10/2014,24,2,0.08333333333333333
officer |officers |Officers |officer,1/10/2014,18,4,0.2222222222222222
officer |officers |Officers |officer,3/10/2014,20,9,0.45
