james hird |James Hird,4/10/2014,20,2,0.1
james hird |James Hird,5/10/2014,13,0,0.0
james hird |James Hird,6/10/2014,23,1,0.043478260869565216
james hird |James Hird,8/10/2014,21,0,0.0
james hird |James Hird,30/09/2014,25,0,0.0
james hird |James Hird,9/10/2014,21,1,0.047619047619047616
james hird |James Hird,7/10/2014,23,2,0.08695652173913043
james hird |James Hird,2/10/2014,24,3,0.125
james hird |James Hird,1/10/2014,18,1,0.05555555555555555
james hird |James Hird,3/10/2014,20,0,0.0
