street |street |streets,4/10/2014,20,3,0.15
street |street |streets,5/10/2014,13,4,0.3076923076923077
street |street |streets,6/10/2014,23,7,0.30434782608695654
street |street |streets,8/10/2014,21,2,0.09523809523809523
street |street |streets,30/09/2014,25,6,0.24
street |street |streets,9/10/2014,21,2,0.09523809523809523
street |street |streets,7/10/2014,23,1,0.043478260869565216
street |street |streets,2/10/2014,24,2,0.08333333333333333
street |street |streets,1/10/2014,18,2,0.1111111111111111
street |street |streets,3/10/2014,20,2,0.1
