cent |cent,4/10/2014,20,5,0.25
cent |cent,5/10/2014,13,10,0.7692307692307693
cent |cent,6/10/2014,23,6,0.2608695652173913
cent |cent,8/10/2014,21,5,0.23809523809523808
cent |cent,30/09/2014,25,6,0.24
cent |cent,9/10/2014,21,6,0.2857142857142857
cent |cent,7/10/2014,23,8,0.34782608695652173
cent |cent,2/10/2014,24,5,0.20833333333333334
cent |cent,1/10/2014,18,4,0.2222222222222222
cent |cent,3/10/2014,20,4,0.2
