mr leung |Mr Leung,4/10/2014,20,0,0.0
mr leung |Mr Leung,5/10/2014,13,1,0.07692307692307693
mr leung |Mr Leung,6/10/2014,23,0,0.0
mr leung |Mr Leung,8/10/2014,21,0,0.0
mr leung |Mr Leung,30/09/2014,25,0,0.0
mr leung |Mr Leung,9/10/2014,21,1,0.047619047619047616
mr leung |Mr Leung,7/10/2014,23,0,0.0
mr leung |Mr Leung,2/10/2014,24,1,0.041666666666666664
mr leung |Mr Leung,1/10/2014,18,0,0.0
mr leung |Mr Leung,3/10/2014,20,0,0.0
