rate |rate |rates,4/10/2014,20,1,0.05
rate |rate |rates,5/10/2014,13,2,0.15384615384615385
rate |rate |rates,6/10/2014,23,4,0.17391304347826086
rate |rate |rates,8/10/2014,21,3,0.14285714285714285
rate |rate |rates,30/09/2014,25,3,0.12
rate |rate |rates,9/10/2014,21,2,0.09523809523809523
rate |rate |rates,7/10/2014,23,4,0.17391304347826086
rate |rate |rates,2/10/2014,24,0,0.0
rate |rate |rates,1/10/2014,18,3,0.16666666666666666
rate |rate |rates,3/10/2014,20,0,0.0
