end |ends |end,4/10/2014,20,1,0.05
end |ends |end,5/10/2014,13,4,0.3076923076923077
end |ends |end,6/10/2014,23,5,0.21739130434782608
end |ends |end,8/10/2014,21,3,0.14285714285714285
end |ends |end,30/09/2014,25,3,0.12
end |ends |end,9/10/2014,21,5,0.23809523809523808
end |ends |end,7/10/2014,23,8,0.34782608695652173
end |ends |end,2/10/2014,24,3,0.125
end |ends |end,1/10/2014,18,4,0.2222222222222222
end |ends |end,3/10/2014,20,6,0.3
